dialogue_id,turn_id,utterance_idx,speaker,utterance,personal_attack,gpt-4o_speaker_intention
102154157.16707.16707,102154157.16707.16707,0,S_0, please dont misrepresent sources,0,The speaker intends to request that the other person accurately represent sources.
102154157.16707.16707,102280676.17857.17844,1,S_1," The article said these 2 were ""KIA"" - there were no KIA. I did not write anything about 10,000 - I added about ""hundreds"" Serbs dead from war (my guess - couldn't find any total numbers), 1,000 Serbs and Roma dead or missing after war (added in the aftermath), 488 confirmed dead from bombing, and about thousands of exhumed Albanians (including ~1,000 in Serbia), by 2001. ""There is some evidence that Yugoslav forces used internally displaced civilians as human shields in the village of Korisa on May 13, and may thus share the blame for the 87 deaths there."" is taken DIRECTLY from there:  (UNDER ORDERS: War Crimes in Kosovo - 16. The NATO Air Campaign). That is (was - 2001) exactly this what I wrote - ""some evidence"" (an eyewitness); then, they continued: ""(For further discussion on the use of ""human shields"" by government forces, see March-June 1999: An Overview.)"", so I linked THIS part of the HRW report. Now, go away.",0,The speaker intends to defend their actions and clarify the sources and information they used  while also expressing frustration and dismissing the other person.
102154157.16707.16707,102610569.18243.18243,2,S_0," The diffs speak for themselves and fortunately you can't talk your way out if it after the fact  let me refresh your memory again regarding when you added the 10,000 number since you say you never added it. - .   //",0,The speaker intends to challenge the other person's claims and provide evidence to support their own position.
102964652.2026.2026,102964652.2034.2026,0,S_0, Oi,0,The speaker intends to initiate a conversation.
102964652.2026.2026,102965503.2036.2036,1,S_1, Yes? -,0,The speaker intends to acknowledge the initiation and prompt for further information.
102964652.2026.2026,102965951.2042.2042,2,S_0," Please do not make insultive edits. I am an administrator, you may be banned.",0,The speaker intends to warn the other person about their behavior and assert authority.
103071967.14294.14294,103071967.14308.14294,0,S_0," The IBC was described *twice* in this short chart as being ""English language media"". This is misleading, particularly for short blurb, because people do not generally know what is or is not available in English. Most will probably assume this means news sources in the USA and the UK. But IBC uses lots of international and Arabic sources. The IBC seems to have had a debate with some critics about what significance this might have for their count. The IBC believes little or none because they say most major Arabic sources publish in English and many others are translated by various services which they use. Using the ""English language media IBC"" formulation seems to clearly take a POV side in this debate, that this ""English"" thing is some crucial caveat for their count, and tends to imply to readers that IBC doesn't use Arabic reports, but they clearly do. Without a thorough explanation of what this might mean, its inclusion in this short description is misleading and POV. It's inclusion *twice* in the same little section suggests that a previous editor has gone a bit overboard in POV-pushing.",0,"The speaker intends to express concern about the misleading nature of describing IBC as ""English language media"" and to argue that this description takes a biased point of view."
103071967.14294.14294,103085389.14715.14715,1,S_1," You deleted sourced material added by several editors. I returned it. I removed one of the English-language media comments. I clarified it by adding ""(including Arabic media translated into English)"".",0,The speaker intends to justify their actions by explaining that they restored sourced material and made clarifications to address the concerns raised.
103587368.2010.2010,103587368.2032.2010,0,S_0, I'm trying to format wiki_link into multiple columns (3 columns) due to the size of the list - there are currently several screens full of nothing but long a long scrolling list of citations. I tried using wiki_link but it doesn't render in 3 columns in my browser (or the majority of browsers). Are there any other alternatives I can use to make the references appear in 2 or 3 columns or to otherwise drastically reduce the screen estate taken up by the citations? Thanks -,0,The speaker intends to seek advice on formatting a list of citations into multiple columns to save screen space.
103587368.2010.2010,103588335.2314.2314,1,S_1," I don't know of any way to do multi columns other than the one you mentioned, but you should use named refs. There are a lot of duplicate refs that are unnecessary. See wiki_link. Look at what I did to ref #8 to see what I mean.",0,The speaker intends to inform the other speaker about the use of named references to reduce duplicate citations and suggests checking a specific example.
103587368.2010.2010,103588752.2343.2343,2,S_0," Ahah, thanks, I didn't know about that one, will incorporate that system, thanks -",0,The speaker intends to express gratitude for the information and indicates a plan to implement the suggested system.
103682985.3190.3190,103682985.3190.3190,0,S_0," ==== Rockpocket not to be investigated ====
No",0,The speaker intends to assert that Rockpocket should not be investigated.
103682985.3190.3190,103718219.5508.5504,1,S_1," Well, it seems that blocking you = evidence of admin irresponsibility, in your opinion. There is an obvious wiki_link in that analysis, of course, making it difficult for you to be objective. Neverthless, I guess that is partly the point of an RfC. e",0,The speaker intends to express skepticism about the other person's objectivity and acknowledge the purpose of an RfC.
103682985.3190.3190,103733226.6605.6605,2,S_0," If I was doing anything obviously wrong, I would expect to be blocked or told off. Its when admins think they know what Im intending to imply and then block me: THats when I get annoyed You may be interested to know that you are now on my RfC list 8-)",0,The speaker intends to explain their perspective on being blocked and inform the other person that they are on their RfC list.
103713917.1219.1219,103714647.1409.1409,0,S_0, SCZs comment No its what you infer that is causing you a problem. You need to grow out of the schoolboy innuendo syndrome. BTW you may have forgotten that I'm blocked. So how else can I make comment except here?,0,The speaker intends to criticize the other person for misinterpreting their comments and to express frustration about being blocked  which limits their ability to communicate.
103713917.1219.1219,103842721.2844.2844,1,S_1," It's not where you make your comments, it's what you say.  And If I am the one with the ""schoolboy innuendo syndrome,"" why is that that I only see inappropriate implications in your comments?",0,"The speaker intends to challenge the other person's assertion by questioning the appropriateness of their comments and to defend themselves against the accusation of having a ""schoolboy innuendo syndrome."""
104033285.691.691,104033285.703.691,0,S_0," Since we're going by official spellings from now on, shouldn't this page be moved to ""Masked Rider Den-O""?.",0,The speaker intends to propose moving the page to align with official spellings.
104033285.691.691,104054136.750.750,1,S_1," Wouldn't that be a bit extreme? Lets just keep to current standards, and leave Kamen untranslated. Its not a matter of official spelling, as Kamen and Masked are pretty much the same thing.",0,The speaker intends to express disagreement with the proposal and suggest maintaining current standards.
104033285.691.691,104102063.824.824,2,S_0," I don't really see how it would be extreme. I find it rather hypocritical that we're moving some pages based on official spellings(Imagin, which I still believe should be Imajin since 'jin' is a suffix for race) and not others. If we move some pages based on those spellings, we should move them all, if not, none of them should be moved.",0,The speaker intends to argue against the perceived inconsistency in applying official spellings.
104033285.691.691,104153806.966.966,3,S_1," Its a bit different here. We adhered to the Imagin spelling because of what the webbie said, and they pretty much sound the same. No room for debate there. Kamen on the other hand... The Kanji used to write Kamen is pronounced Kamen. Not masked. Since they don't really sound the same at all, there's no need to move it based on spelling, as a translators note has been left at the beginning of each article.",0,The speaker intends to justify the current naming convention by explaining the rationale behind it.
104093979.937.937,104093979.953.937,0,S_0,"This is the '''only warning''' you will receive. Your actions will not be tolerated. The next time you wiki_link Wikipedia, you '''will''' be wiki_link. ",0,The speaker intends to issue a stern warning and communicate the consequences of the listener's actions.
104093979.937.937,104096409.1037.1037,1,S_1,"This is your '''last warning'''. The next time you wiki_link Wikipedia, you '''will''' be wiki_link. - ",0,The speaker intends to reinforce the warning and emphasize the consequences of the listener's actions.
104289055.68565.68565,104289055.68587.68565,0,S_0,"this is amusing how some people try to change historical facts and falsly accuse others for doing so !!! first of all this body of water has not been always persian gulf, it had different names through history and this is a FACT. civilizations lived on the coasts of this gulf for thousands of years and they were not all Persians, the sumerian called the body of water the ""lower sea"" and the Babylonians called it the ""bitter sea"" and then the persians called it ""Persian sea"", and the changing continued after that, it was called ""Basra Gulf"" by the Ottomans and Arabs Now calls it Arabian Gulf.( there are good evidences that Arabian Gulf name was used long time before 1960s from the maps showed above by one of the members here) the point is that it had '''different names''' and Wikipedia as a nutral source of information should recognise that and not bow to nationalisim, and ""many"" iranians has to read historical books ( neutral ones) before they start shouting here like igonrant nationalists. ",0,The speaker intends to challenge the notion that the body of water has always been called the Persian Gulf by providing historical evidence of its various names and to criticize Wikipedia for not acknowledging this diversity.
104289055.68565.68565,104314861.68969.68969,1,S_1,"your comments do not deserve any attention. one reason is that you say ""civilisations.."" this is just nonsense. there has been only one civilisation in the region. thats THE PERSIAN CIVILISATION. but for your information, the reason why people are trying to say that the name is persian gulf is more than what you call nationalism. what is accurate is the point. we all know how much money is involved in this so-called naming problem. and when it comes to history we think in persian scales and not arab scales. in this scale, name is what it s: the persian gulf. ",0,The speaker intends to dismiss S_0's argument by asserting the dominance of Persian civilization and to emphasize the importance of historical accuracy over nationalism  suggesting financial motives behind the naming dispute.
104887604.5394.5394,104887604.5404.5394,0,S_0," I recently added three links noting community criticism of Farmers Insurance in (what I thought) was the appropriate section of the article.  It was reverted, which is fine, except I don't fully understand what I did wrong?  Farmers has the most complaints of a national carrier, and as far as I can tell the most gripe sites about it as well.  If I understand correctly, the issue with the gripe site links is that they are not primary sources?  would linking to a clearinghouse of gripesites in general (www.webgripesites.com) be more acceptable?
Cheers,
-nB",0,The speaker seeks clarification on why their edits were reverted and suggests an alternative approach to include criticism of Farmers Insurance in the article.
104887604.5394.5394,104888220.5658.5658,1,S_1, Unless you link to primary sources with specific examples you will be reverted.  Gripe sites and clearinghouses of gripes cannot be used as sources or linked in the external links.,0,The speaker intends to inform the other speaker about the guidelines for acceptable sources and why the previous edits were reverted.
104887604.5394.5394,104908860.5722.5722,2,S_0," Ok, fair enough.  I'll get the specific links from the state gov sites then.  can mention be made of the ""gripe site community""?  Something along the lines of ""farmers has been criticized on-line in several forums and blogs commonly referred to as a wiki_link"" Cheers",0,The speaker acknowledges the guidelines and proposes a new approach to include criticism by using specific links from state government sites and asks if a general mention of online criticism is acceptable.
105940061.1753.1753,105940061.1767.1753,0,S_0,"I see you reverted the change to wiki_link.  To prevent a revert war, please add your comments to the wiki_link. — ",0,The speaker intends to address a potential conflict by suggesting a constructive way to resolve it through discussion.
105940061.1753.1753,105941909.1859.1859,1,S_1,* I can't believe El Toro wasn't on my watch list.  I saw the Sabow thing get reverted on the USMC page but did not know it had popped up in other places. ''',0,The speaker intends to express surprise and acknowledge a lack of awareness about changes on a specific page.
105940061.1753.1753,105946582.1932.1932,2,S_0,'''Image:''' What year was wiki_link taken?  Does the image give a credit to the photographer?  — ,0,The speaker intends to seek information about the image's details  specifically the date and photographer credit.
105940061.1753.1753,105948117.1994.1994,3,S_1,* The page says December of 1944 and it is credited to the National Archives.  No mention of a photographer's name. ,0,The speaker intends to provide the requested information about the image's date and credit.
105940061.1753.1753,105949015.2041.2041,4,S_0,* I added the month and year to the uploaded image description. — ,0,The speaker intends to inform that they have updated the image description with the provided details.
105983711.6035.6035,105984581.6246.6246,0,S_0," I found this article via the critic sites that I added to the article. According to the real bad accounts of those sites, it appears the article may be constantly checked by Farmers people and ""fixed"", so I'm putting the links here too:
* external_link
* external_link
I have never done business with these guys, this is the first time I heard about them, I'm trying to include interesting and informative links to the article... Oh, talk page already has someone from the company... interesting...",0,The speaker intends to provide context and justification for adding links to the article  expressing a desire to include informative content and noting the presence of company representatives on the talk page.
105983711.6035.6035,106036240.6270.6270,1,S_1," Wikipedia is not an indiscriminate collection of links, and there seems to be significant consensus that attack sites should not be linked.  I can guarantee that www.parishiltonsucks.com isn't trying to be a balanced accounting of Paris Hilton's life, and the sites above are exactly the same.  As always, if there are specific reliably sourced negative information that is within the scope of the article then add it and source it.",0,The speaker intends to assert Wikipedia's guidelines against indiscriminate linking and attack sites  emphasizing the need for reliable sources and balanced information.
105983711.6035.6035,106397229.6426.6426,2,S_2," I disagree there is no ""significant consensus"" in regards to complaint sites.  If anything there is a consensus to have them present, but you continue to delete them .  In a Paypal discussion there was agreement that a external_link that criticize a company are OK.  Syrthiss, please point to your source that there is a ""significant consensus that attack sites should not be linked"".",0,The speaker intends to challenge the claim of consensus against complaint sites  arguing for their inclusion and requesting evidence of the opposing consensus.
106086467.6813.6813,106086467.6823.6813,0,S_0,Why is blocked user light current allowed to evade his block without sanction?  - ,0,The speaker intends to question why a blocked user is allowed to evade their block without facing consequences.
106086467.6813.6813,106087020.6853.6853,1,S_1,"Um, maybe because nobody but you has noticed yet?  The way you put this question assumes negligence or deliberate dereliction of duty, and I'd like to ask you to put it another way.  How about you point out that you think Light current is evading his block, and inform me (or whoever) which edits show this? ",0,The speaker intends to suggest that the issue may not have been noticed by others and requests the other speaker to present their concerns in a less accusatory manner  while also asking for specific evidence of the alleged block evasion.
106097715.8104.8104,106097715.8112.8104,0,S_0,"Yes, I should have just written Dweller. He, of course, could have... let's see: Not assumed that I was ""prejudiced"" Not assumed my POV Not transparently and obviously engaged in pedantic arguing for the sake thereof Oh wait, let me give you a big 4: 4. .  - ",0,The speaker intends to express frustration and critique the other person's assumptions and argumentative behavior.
106097715.8104.8104,106099147.8222.8222,1,S_1,"Some of those are right, others are debatable, but I'm not going to debate.  Instead I'm going to leave you both the same message and then go home and eat dinner.  Good evening! ",0,The speaker intends to acknowledge some validity in the previous points  express a desire to avoid further debate  and politely exit the conversation.
106700421.14794.14794,106700421.14802.14794,0,S_0," Hi UBeR, sections or parapgraphs that are just summaries of a referenced main article (as wiki_link in wiki_link) do not need to reproduce the original sourced. wiki_link is ensured via the link to the main article. Reproducing everything in full would be cumbersome and antiproductive. If you insist, I'm ready to stick a {{main}} tag onto that section, but given the prominent link given, I find that rather inelegant.",0,The speaker intends to explain their perspective on summarizing referenced articles and suggests an alternative approach to avoid redundancy.
106700421.14794.14794,106733784.11649.11649,1,S_1," I, too, was going to (rater am going to) add {{main}}, as currently the section is not a subsection of any article. Please remember the burden of lies with the editor. Simply putting two brackets around a word does not make a statement referenced. This is something Wikipedia has explicitly stated. This, too, apparently, is something that Raul654 cannot wrap around his head either. ~",0,The speaker intends to assert their plan to add a {{main}} tag and emphasize the importance of proper referencing  while criticizing another editor's understanding.
106700421.14794.14794,106737800.11798.11798,2,S_2," The fact that you are unable to understand the policy, as quoted to you not a few hours (and reinforcement of what you had already been told) is your problem alone.",0,The speaker intends to criticize S_1's understanding of Wikipedia's policy  implying that the misunderstanding is S_1's problem.
106700421.14794.14794,106740209.11649.11649,3,S_1," I, too, was going to (rather am going to) add {{main}}, as currently the section is not a subsection of any article. Please remember the burden of evidence lies with the editor. Simply putting two brackets around a word does not make a statement referenced. This is something Wikipedia has explicitly stated. This, too, apparently, is something that Raul654 cannot wrap around his head either. ~",0,The speaker intends to reiterate their plan to add a {{main}} tag and emphasize the importance of proper referencing  while criticizing another editor's understanding.
107047394.5221.5221,107047394.5229.5221,0,S_0,"Hiya, I guess I'm a bit confused about how the WikiProject's assessment process is working, so perhaps you could help me?  Currently the box on the Templar talkpage has several entries like ""References, not checked; Structure, not checked; etc.""  How do I get those checked?  Do I just go through them myself, or is there a more formal process that's needed?  Thanks, ",0,The speaker seeks clarification and assistance regarding the WikiProject's assessment process and how to get certain entries checked.
107047394.5221.5221,107048321.5377.5377,1,S_1, You are refering to the ''B-class'' process I am assuming.  I am sorry that I did not add that to the article's talk page.  I would encourage you to fill those out yourself as up to a B-class rating the project is very flexible.  I was borderline on whether or not the article should be B-class so please be honest if making your own assessments.  It is a bit light in references and a bit light in content considering how much history they have.  Hopefully this helps.  Cheers ,0,The speaker intends to provide guidance on the B-class process  encourages the speaker to fill out the assessments themselves  and advises honesty in the assessment.
107319885.2036.0,107319885.2044.0,0,S_0,"''In the United States eight to ten football players die each year.'' Do you have a source backing this statement up?  I'm curious about this.  I follow the sport closely and I am not familiar with this statistic. It could be a fact, if you include 40+ people in poor shape (like myself) suffering a heart failure while playing whatever with the kids or office mates. While not a source, sports insurance is significantly higher for hockey and football players than any other sports, which shows at least that they are more likely to be seriously injured. ",0,The speaker intends to question the validity of the statistic about football player deaths and express curiosity about its accuracy.
107319885.2036.0,113646207.2258.2258,1,S_1,"Haha If you think about it the fact says nothing about FORMER football players. I'm sure a bunch of old football player die every year. My grandpa was a football player he died last year. Change this ""fact"" ",0,The speaker intends to humorously challenge the statistic by pointing out its ambiguity and share a personal anecdote to support their point.
107319885.2036.0,113667450.2341.2341,2,S_2," First off, you're chiming in on a year-old discussion.  Secondly, yes, you're right; the fact says nothing about former football players.  It also doesn't say anything about tea leaves, paper clips, the Wilmot Proviso or other such irrelevancies. ",0,The speaker intends to criticize S_1's comment by highlighting its irrelevance to the original discussion and dismiss the point humorously.
107319885.27209.0,107319885.27225.0,0,S_0,"Of course English users contributing here are largely from USA and Canada, but we should try to make article more objective and also provide news about other major nations. Also, if NHL is clearly the most powerful league in the world, hockey played in North America '''is not''' hockey in general, so every info should be provided with always mentioning its local nature. In fact, from what I seem in recent times Canada and USA failed to win any important international competition, and strongest players are almost all from Europe, aren't they? Bye and good work. ",0,The speaker intends to suggest that the article should be more objective and inclusive of international perspectives  particularly in hockey.
107319885.27209.0,107376039.27436.27436,1,S_1,"I disagree - ""the strongest players"" are most certainly ''not'' from Europe - in fact it's not even close. Currently, the best player in the world is Canadian as is the the top goaltender.  At the time of writing 9 of the top 11 scoring leaders in the NHL are from Canada. No other country has more than 2 in the top 15. I think you'll have a hard time proving your statement to be anything but your own POV. Alo, I don't see how the article can be NA bias, when the majority of it discusses rules of the game, equipment, ice hockey in popular culture and history of the sport - which is all general information. Other users are more than welcome to add information from various countries, however I don't think removing  info and re-arranging the article to better suit European hockey is the way to go. ",0,The speaker intends to refute S_0's claim about European players being the strongest and to defend the current content of the article as not being biased towards North America.
107319885.27209.0,107400660.27768.27768,2,S_0,"Sorry for getting you raging about that. I am not much into the today's matters: in fact I wrote: ""I seem"". I'll try to expose my point. An unbiased-article, simply, whould not contain a ""History [of the sport]"" section deling only with its history in North America, at least when it is fairly played outside. Hope you appreciated the sectioning I've introduced lately, with a stub about matters abroad. Didn't want to get engaged in any debate about who's stronger or lesser, oh my. But it is true is that Canada and USA have won far less gold medals than other countries in the sport's international tournaments. Good work. ",0,The speaker intends to clarify their previous statement  apologize for any misunderstanding  and emphasize the need for a more balanced historical section in the article.
108176670.53894.53894,108176670.53911.53894,0,S_0,"Like the previous poster, I find all kinds of great info here in Computer Science, Physics, and Mathematics that is nowhere else that I know of. I have a PhD in Physics, so let me simply concentrate on a few Physics articles that I have read. Uniformly, 10 out of 10, they were good articles.  Each was packed with accurate information and was a wonderful bringing-together of multiple perspectives.  I remember thinking: I wish this had been around when I was a grad student at Caltech back in the 80's, and no class or professor could give such a concise and accurate treatment of many aspects of particle physics (my specialty). Here is something I noticed: several of these very good articles are marked as ""start class"" or some such thing...which I guess is some sort of rating scheme.  I think the ratings simply have not caught up with the quality of the contents. Steve Otto ",0,The speaker intends to express appreciation for the quality of certain articles in Computer Science  Physics  and Mathematics  and to highlight a perceived discrepancy between the quality of content and its ratings.
108176670.53894.53894,108189010.54742.54742,1,S_1,"For topics where there are no shortage of knowledgeable editors, such as those you cite, its natural that the article quality will be quite good. However, for important domains where there are few knowledgeable editors contributing its a real struggle to maintain article quality in the face of hoards of uninformed editors, vandals, etc. In my area of interest we have a very small number of editors trying to maintain and improve over 1500 articles. I believe there are some fundamental changes to the way Wikipedia works which could improve the situation. ( ) ",0,The speaker intends to acknowledge the quality of articles in well-covered topics while highlighting the challenges faced in maintaining quality in less-covered areas  and to suggest that changes to Wikipedia's structure could improve the situation.
108254711.66560.66560,108254711.66572.66560,0,S_0,"How could Wikipedia face these challenges? Scrap the current monolithic article model, and begin publishing incremental edits in wiki_link instead. Make a wiki_link. (I realize this term is already used in wiki_link, which sounds more like wiki_link content edited in a traditional wiki.) This way, independent third-parties could serve customized edit filters into the main Wikipedia database. For instance, one site could serve only articles composed of edits made by scholars (together with minor edits by non-scholars perhaps, to allow for things like spelling corrections). Another site could serve only articles composed of edits approved by a board of editors whose particular editorial style you like. Yet another site could serve edits based on mass moderation. And yet another site (say, wikipedia.org) could allow you to select from all the available edits to an article in order to tailor the article which meets your exact quality demands. Companies like Google could mirror the edit database and apply their own proprietary search and ranking technologies. Contributors could discuss and evaluate single edits in detail, and so on. Wikis has opened up editing. Now let's open up viewing as well. ",0,The speaker intends to propose a new model for Wikipedia that allows for more customized and flexible article editing and viewing  suggesting a shift from the current monolithic article model to a more open and incremental editing system.
108254711.66560.66560,108265826.67024.67024,1,S_1,"See wiki_link, wiki_link, wiki_link. ( ) ",0,The speaker intends to direct the previous speaker to existing resources or articles that may be relevant to the discussion  possibly implying that the proposed ideas are already addressed elsewhere.
108254711.66560.66560,108283333.68337.68337,2,S_2,You may be interested in wiki_link.   [/] ,0,The speaker intends to suggest a specific resource or article that might be of interest to the previous speaker  potentially offering additional information or context.
108309135.0.0,108309135.10.0,0,S_0,"Thanks for dropping in on my talk page, and providing the info re screening dates.  I checked out foyleswar.com but could only find confirmed dates for Australia. It is a fan site, and seems a bit imprecise about some details.  Anyway, I've taken it to wiki_link.  I see from the history that you've contributed to the ''Foyle's War'' pages before.   and I are hoping to develop episode pages.  Advice or help most welcome ",0,"The speaker intends to express gratitude for the information provided and seeks further advice or help in developing episode pages for ""Foyle's War."""
108309135.0.0,108746080.194.194,1,S_1,"Oops, didn't see this comment, sorry, Gwinva. I've already spent five years building fw.com and, as we are in the middle of FW5 with all the work that entails with detailed summaries etc, I don't have any time to help, as such, here. My main interest in the past with wiki was to keep an eye on accuracy and vandalism. I'm happy to leave you to it although I do have some concerns that the proposed scope of the wiki pages will eventually make fw.com obsolete! Where were you five years ago? ) ",0,The speaker intends to apologize for missing the previous comment and explain their lack of availability to help due to commitments with fw.com  while expressing concerns about the wiki pages potentially making fw.com obsolete.
108309135.0.0,108815940.407.407,2,S_0,"I quite understand you will be kept busy.  However, it would be good if you continue to drop in from time to time and keep us straight on our details.  I was a bit slow on the uptake, and took a while to realise you are involved with fw.com, so sorry if we talked to cross-purposes.  I also apologise if I misunderstood the scope of your site: as you probably guessed from the fact I missed all the info you were pointing me to, I really only skimmed through your site.  It looks brilliant, but I wanted to avoid a close study until I had compiled the FW pages here, so I didn't run the risk of unconsciously regurgitating your text etc (and therefore breaching copyright).  I've been working off my DVDs.  As for rendering your site obsolete, I doubt it.  Your site does things we can't: photos, original research, news, broadcasting developments, FAQ, fans' comments, POV and discussions.  I hope interest generated here will send people to you.  Hopefully Wikipedia will complement your work, providing a framework for people to investigate more through wikilinks eg. historical issues brought up, actors biographies etc.  Be seeing you, ",0,The speaker intends to acknowledge the other speaker's busy schedule  express a desire for occasional input  apologize for any misunderstandings  and clarify their intentions to complement rather than compete with fw.com.
108309135.0.0,108816839.854.854,3,S_1,No worries (hence the ) ) - but it is on odd feeling after being out in the fandom wilderness (especially after being involved in such a heavily populated fandom as Angel for many years.) Foyle's War deserves recognition and the more people that discover it the better! ,0,"The speaker intends to express a positive sentiment about the growing recognition of ""Foyle's War"" and the benefits of more people discovering it."
108309135.0.0,109493777.961.961,4,S_2,"Hey Florrie, what would you think of a Foyle's War WikiProject? You can reply with comments external_link.   • ",0,"The speaker intends to propose the idea of a ""Foyle's War"" WikiProject and invites feedback on the proposal."
108309135.0.0,111442198.1014.1014,5,S_3,"Hello. Please don't forget to provide an wiki_link. Thanks, and happy editing. Please remember to mark your edits as '''m'''inor when (and only when) they genuinely are minor edits (see wiki_link). Marking a major change as a minor one (and vice versa) is considered poor etiquette.  The rule of thumb is that only an edit that consists solely of spelling corrections, formatting and minor rearranging of text should be flagged as a 'minor edit'. Thanks! ",0,The speaker intends to remind the other speaker to provide a wiki link and offer guidance on marking edits as minor  emphasizing proper editing etiquette.
109195877.11310.11310,109195877.11327.11310,0,S_0,Can anyone provide a reference for this material? ,0,The speaker is seeking a reference for the material mentioned.
109195877.11310.11310,109276501.11872.11872,1,S_1,"It's quite a claim, maybe we should give it more prominence on the page? ",0,The speaker is suggesting that the claim should be given more prominence on the page.
109195877.11310.11310,109616726.11944.11944,2,S_2,How about we delete it? Sounds good to me. ,0,The speaker is proposing the deletion of the material and expressing agreement with the idea.
