dataset,dialogue_id,utterance_idx,speaker,split,utterance,gpt-4o_intention,donation_amount,donation_made,traditional_summary,scm_summary,scd_summary
P4G,20180719-165941_192_live,1,EE,valid,"Yea, hello.",Acknowledging the greeting,0.0,0,"The conversation involves ER initiating a discussion about the organization ""Save the Children"" with EE. ER inquires if EE has any children, possibly to engage them in a relevant context for the discussion. EE responds with a slightly sarcastic remark about ER taking their time before the conversation shifts to the topic of children.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation politely and expresses interest in discussing a charitable cause, indicating a friendly and purposeful approach. This suggests both warmth and competence.

user2 (EE):
  warmth: low
  competence: low
  explanation: EE's response is curt and somewhat sarcastic, suggesting impatience or annoyance. This implies a lack of warmth. The lack of engagement or constructive response also suggests low competence in the context of the conversation.","The conversation begins with a somewhat sarcastic greeting from EE, indicating impatience or frustration. ER maintains a polite and focused approach, introducing the topic of Save the Children. ER's strategy is to engage EE by asking a personal question about having children, likely aiming to create a connection or relevance to the topic. EE's initial sentiment suggests reluctance, while ER remains persistent in steering the conversation toward their intended discussion."
P4G,20180719-165941_192_live,2,EE,valid,Glad you took your time.,Expressing sarcasm or frustration,0.0,0,"The conversation involves ER initiating a discussion about the organization ""Save the Children"" with EE. ER inquires if EE has any children, possibly to engage them in a relevant context for the discussion. EE responds with a slightly sarcastic remark about ER taking their time before the conversation shifts to the topic of children.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation politely and expresses interest in discussing a charitable cause, indicating a friendly and purposeful approach. This suggests both warmth and competence.

user2 (EE):
  warmth: low
  competence: low
  explanation: EE's response is curt and somewhat sarcastic, suggesting impatience or annoyance. This implies a lack of warmth. The lack of engagement or constructive response also suggests low competence in the context of the conversation.","The conversation begins with a somewhat sarcastic greeting from EE, indicating impatience or frustration. ER maintains a polite and focused approach, introducing the topic of Save the Children. ER's strategy is to engage EE by asking a personal question about having children, likely aiming to create a connection or relevance to the topic. EE's initial sentiment suggests reluctance, while ER remains persistent in steering the conversation toward their intended discussion."
P4G,20180719-165941_192_live,3,ER,valid,I'd like to speak to you about Save the Children.,Introducing the topic of conversation,0.0,0,"The conversation involves ER initiating a discussion about the organization ""Save the Children"" with EE. ER inquires if EE has any children, possibly to engage them in a relevant context for the discussion. EE responds with a slightly sarcastic remark about ER taking their time before the conversation shifts to the topic of children.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation politely and expresses interest in discussing a charitable cause, indicating a friendly and purposeful approach. This suggests both warmth and competence.

user2 (EE):
  warmth: low
  competence: low
  explanation: EE's response is curt and somewhat sarcastic, suggesting impatience or annoyance. This implies a lack of warmth. The lack of engagement or constructive response also suggests low competence in the context of the conversation.","The conversation begins with a somewhat sarcastic greeting from EE, indicating impatience or frustration. ER maintains a polite and focused approach, introducing the topic of Save the Children. ER's strategy is to engage EE by asking a personal question about having children, likely aiming to create a connection or relevance to the topic. EE's initial sentiment suggests reluctance, while ER remains persistent in steering the conversation toward their intended discussion."
P4G,20180719-165941_192_live,4,ER,valid,Do you have any kids?,Inquiring about the other person's personal life,0.0,0,"The conversation involves ER initiating a discussion about the organization ""Save the Children"" with EE. ER inquires if EE has any children, possibly to engage them in a relevant context for the discussion. EE responds with a slightly sarcastic remark about ER taking their time before the conversation shifts to the topic of children.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation politely and expresses interest in discussing a charitable cause, indicating a friendly and purposeful approach. This suggests both warmth and competence.

user2 (EE):
  warmth: low
  competence: low
  explanation: EE's response is curt and somewhat sarcastic, suggesting impatience or annoyance. This implies a lack of warmth. The lack of engagement or constructive response also suggests low competence in the context of the conversation.","The conversation begins with a somewhat sarcastic greeting from EE, indicating impatience or frustration. ER maintains a polite and focused approach, introducing the topic of Save the Children. ER's strategy is to engage EE by asking a personal question about having children, likely aiming to create a connection or relevance to the topic. EE's initial sentiment suggests reluctance, while ER remains persistent in steering the conversation toward their intended discussion."
P4G,20180719-181845_211_live,0,ER,train,Hello!,Greeting the other person,0.0,0,ER greets EE and asks how they're doing. EE responds that they're tired but generally good and asks ER the same question. ER replies that they're doing alright.,"user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and inquires about EE's well-being, indicating high warmth. The ability to engage in a polite exchange suggests high competence.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds with a friendly tone and reciprocates the inquiry about ER's well-being, demonstrating high warmth. EE's clear and coherent response indicates high competence.","The conversation begins with a friendly and casual tone as ER greets EE and inquires about their well-being. EE responds with a hint of fatigue but maintains a generally positive sentiment. ER reciprocates by sharing their own status, keeping the exchange light and amicable. Both speakers engage in a brief, polite exchange, maintaining a consistent tone of mutual interest and friendliness throughout the interaction."
P4G,20180719-181845_211_live,1,ER,train,How're you doing today?,Inquiring about the other person's well-being,0.0,0,ER greets EE and asks how they're doing. EE responds that they're tired but generally good and asks ER the same question. ER replies that they're doing alright.,"user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and inquires about EE's well-being, indicating high warmth. The ability to engage in a polite exchange suggests high competence.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds with a friendly tone and reciprocates the inquiry about ER's well-being, demonstrating high warmth. EE's clear and coherent response indicates high competence.","The conversation begins with a friendly and casual tone as ER greets EE and inquires about their well-being. EE responds with a hint of fatigue but maintains a generally positive sentiment. ER reciprocates by sharing their own status, keeping the exchange light and amicable. Both speakers engage in a brief, polite exchange, maintaining a consistent tone of mutual interest and friendliness throughout the interaction."
P4G,20180719-181845_211_live,2,EE,train,"Hey, kind of tired but overall good.",Responding to the inquiry and sharing personal state,0.0,0,ER greets EE and asks how they're doing. EE responds that they're tired but generally good and asks ER the same question. ER replies that they're doing alright.,"user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and inquires about EE's well-being, indicating high warmth. The ability to engage in a polite exchange suggests high competence.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds with a friendly tone and reciprocates the inquiry about ER's well-being, demonstrating high warmth. EE's clear and coherent response indicates high competence.","The conversation begins with a friendly and casual tone as ER greets EE and inquires about their well-being. EE responds with a hint of fatigue but maintains a generally positive sentiment. ER reciprocates by sharing their own status, keeping the exchange light and amicable. Both speakers engage in a brief, polite exchange, maintaining a consistent tone of mutual interest and friendliness throughout the interaction."
P4G,20180719-181845_211_live,3,EE,train,How are you?,Returning the inquiry about well-being,0.0,0,ER greets EE and asks how they're doing. EE responds that they're tired but generally good and asks ER the same question. ER replies that they're doing alright.,"user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and inquires about EE's well-being, indicating high warmth. The ability to engage in a polite exchange suggests high competence.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds with a friendly tone and reciprocates the inquiry about ER's well-being, demonstrating high warmth. EE's clear and coherent response indicates high competence.","The conversation begins with a friendly and casual tone as ER greets EE and inquires about their well-being. EE responds with a hint of fatigue but maintains a generally positive sentiment. ER reciprocates by sharing their own status, keeping the exchange light and amicable. Both speakers engage in a brief, polite exchange, maintaining a consistent tone of mutual interest and friendliness throughout the interaction."
P4G,20180719-181845_211_live,4,ER,train,I'm doing alright.,Responding to the inquiry about well-being,0.0,0,ER greets EE and asks how they're doing. EE responds that they're tired but generally good and asks ER the same question. ER replies that they're doing alright.,"user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and inquires about EE's well-being, indicating high warmth. The ability to engage in a polite exchange suggests high competence.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds with a friendly tone and reciprocates the inquiry about ER's well-being, demonstrating high warmth. EE's clear and coherent response indicates high competence.","The conversation begins with a friendly and casual tone as ER greets EE and inquires about their well-being. EE responds with a hint of fatigue but maintains a generally positive sentiment. ER reciprocates by sharing their own status, keeping the exchange light and amicable. Both speakers engage in a brief, polite exchange, maintaining a consistent tone of mutual interest and friendliness throughout the interaction."
P4G,20180719-182453_233_live,0,ER,train,Hello!,Greeting the other person,0.0,0,ER greets EE and asks if they are interested in charities focused on helping children. EE responds by asking for clarification on which children ER is referring to.,"user1 (ER):
  warmth: high
  competence: low
  explanation: User1 initiates the conversation with a friendly greeting and expresses interest in a charitable cause, indicating high warmth. However, the lack of specificity in their question suggests low competence in conveying detailed information.

user2 (EE):
  warmth: low
  competence: high
  explanation: User2 responds with a brief, neutral greeting and a pointed question, indicating low warmth. Their question suggests a desire for clarity and specificity, reflecting high competence in seeking detailed information.","The conversation begins with a friendly greeting from ER, who then introduces a topic related to charitable work. EE responds with a question, indicating curiosity or a need for clarification. ER's initial approach seems to be informative or persuasive, aiming to engage EE's interest. EE's response suggests a cautious or inquisitive stance, seeking more specific information before potentially engaging further in the discussion."
P4G,20180719-182453_233_live,1,EE,train,Hey,Responding to the greeting,0.0,0,ER greets EE and asks if they are interested in charities focused on helping children. EE responds by asking for clarification on which children ER is referring to.,"user1 (ER):
  warmth: high
  competence: low
  explanation: User1 initiates the conversation with a friendly greeting and expresses interest in a charitable cause, indicating high warmth. However, the lack of specificity in their question suggests low competence in conveying detailed information.

user2 (EE):
  warmth: low
  competence: high
  explanation: User2 responds with a brief, neutral greeting and a pointed question, indicating low warmth. Their question suggests a desire for clarity and specificity, reflecting high competence in seeking detailed information.","The conversation begins with a friendly greeting from ER, who then introduces a topic related to charitable work. EE responds with a question, indicating curiosity or a need for clarification. ER's initial approach seems to be informative or persuasive, aiming to engage EE's interest. EE's response suggests a cautious or inquisitive stance, seeking more specific information before potentially engaging further in the discussion."
P4G,20180719-182453_233_live,2,ER,train,"So, are you interested in charities that help save the children?",Inquiring about the other person's interest in a specific type of charity,0.0,0,ER greets EE and asks if they are interested in charities focused on helping children. EE responds by asking for clarification on which children ER is referring to.,"user1 (ER):
  warmth: high
  competence: low
  explanation: User1 initiates the conversation with a friendly greeting and expresses interest in a charitable cause, indicating high warmth. However, the lack of specificity in their question suggests low competence in conveying detailed information.

user2 (EE):
  warmth: low
  competence: high
  explanation: User2 responds with a brief, neutral greeting and a pointed question, indicating low warmth. Their question suggests a desire for clarity and specificity, reflecting high competence in seeking detailed information.","The conversation begins with a friendly greeting from ER, who then introduces a topic related to charitable work. EE responds with a question, indicating curiosity or a need for clarification. ER's initial approach seems to be informative or persuasive, aiming to engage EE's interest. EE's response suggests a cautious or inquisitive stance, seeking more specific information before potentially engaging further in the discussion."
P4G,20180719-182453_233_live,3,EE,train,Which children?,Seeking clarification about which children the charity helps,0.0,0,ER greets EE and asks if they are interested in charities focused on helping children. EE responds by asking for clarification on which children ER is referring to.,"user1 (ER):
  warmth: high
  competence: low
  explanation: User1 initiates the conversation with a friendly greeting and expresses interest in a charitable cause, indicating high warmth. However, the lack of specificity in their question suggests low competence in conveying detailed information.

user2 (EE):
  warmth: low
  competence: high
  explanation: User2 responds with a brief, neutral greeting and a pointed question, indicating low warmth. Their question suggests a desire for clarity and specificity, reflecting high competence in seeking detailed information.","The conversation begins with a friendly greeting from ER, who then introduces a topic related to charitable work. EE responds with a question, indicating curiosity or a need for clarification. ER's initial approach seems to be informative or persuasive, aiming to engage EE's interest. EE's response suggests a cautious or inquisitive stance, seeking more specific information before potentially engaging further in the discussion."
P4G,20180719-204358_391_live,0,ER,train,"Hey there, glad we can talk tonight.",Initiate conversation and express gladness for the opportunity to talk,0.0,0,"ER initiates a conversation with EE, expressing gratitude for the opportunity to talk. ER mentions wanting to discuss something important and personal, and EE confirms they are available to listen.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and expresses gratitude for the opportunity to talk, indicating high warmth. Their intention to discuss something important suggests confidence and competence.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds positively and reciprocates the friendly tone, showing high warmth. Their willingness to engage and immediate agreement to discuss further indicates attentiveness and competence.","The conversation begins with a friendly and open tone, as both speakers express mutual enthusiasm about the opportunity to talk. ER introduces a topic of personal importance, indicating a desire for a meaningful discussion. EE responds positively, showing willingness and openness to engage. The interaction suggests a supportive and attentive dynamic, with ER aiming to share something significant and EE demonstrating readiness to listen and participate in the conversation."
P4G,20180719-204358_391_live,1,EE,train,"Hello, same!",Reciprocate greeting and express mutual gladness,0.0,0,"ER initiates a conversation with EE, expressing gratitude for the opportunity to talk. ER mentions wanting to discuss something important and personal, and EE confirms they are available to listen.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and expresses gratitude for the opportunity to talk, indicating high warmth. Their intention to discuss something important suggests confidence and competence.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds positively and reciprocates the friendly tone, showing high warmth. Their willingness to engage and immediate agreement to discuss further indicates attentiveness and competence.","The conversation begins with a friendly and open tone, as both speakers express mutual enthusiasm about the opportunity to talk. ER introduces a topic of personal importance, indicating a desire for a meaningful discussion. EE responds positively, showing willingness and openness to engage. The interaction suggests a supportive and attentive dynamic, with ER aiming to share something significant and EE demonstrating readiness to listen and participate in the conversation."
P4G,20180719-204358_391_live,2,ER,train,I'd like to talk to you about something that's very dear to me.,Introduce a topic of personal importance,0.0,0,"ER initiates a conversation with EE, expressing gratitude for the opportunity to talk. ER mentions wanting to discuss something important and personal, and EE confirms they are available to listen.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and expresses gratitude for the opportunity to talk, indicating high warmth. Their intention to discuss something important suggests confidence and competence.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds positively and reciprocates the friendly tone, showing high warmth. Their willingness to engage and immediate agreement to discuss further indicates attentiveness and competence.","The conversation begins with a friendly and open tone, as both speakers express mutual enthusiasm about the opportunity to talk. ER introduces a topic of personal importance, indicating a desire for a meaningful discussion. EE responds positively, showing willingness and openness to engage. The interaction suggests a supportive and attentive dynamic, with ER aiming to share something significant and EE demonstrating readiness to listen and participate in the conversation."
P4G,20180719-204358_391_live,3,ER,train,Do you have a moment?,Inquire about the availability of the listener,0.0,0,"ER initiates a conversation with EE, expressing gratitude for the opportunity to talk. ER mentions wanting to discuss something important and personal, and EE confirms they are available to listen.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and expresses gratitude for the opportunity to talk, indicating high warmth. Their intention to discuss something important suggests confidence and competence.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds positively and reciprocates the friendly tone, showing high warmth. Their willingness to engage and immediate agreement to discuss further indicates attentiveness and competence.","The conversation begins with a friendly and open tone, as both speakers express mutual enthusiasm about the opportunity to talk. ER introduces a topic of personal importance, indicating a desire for a meaningful discussion. EE responds positively, showing willingness and openness to engage. The interaction suggests a supportive and attentive dynamic, with ER aiming to share something significant and EE demonstrating readiness to listen and participate in the conversation."
P4G,20180719-204358_391_live,4,EE,train,"Yeah, totally.",Confirm availability,0.0,0,"ER initiates a conversation with EE, expressing gratitude for the opportunity to talk. ER mentions wanting to discuss something important and personal, and EE confirms they are available to listen.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and expresses gratitude for the opportunity to talk, indicating high warmth. Their intention to discuss something important suggests confidence and competence.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds positively and reciprocates the friendly tone, showing high warmth. Their willingness to engage and immediate agreement to discuss further indicates attentiveness and competence.","The conversation begins with a friendly and open tone, as both speakers express mutual enthusiasm about the opportunity to talk. ER introduces a topic of personal importance, indicating a desire for a meaningful discussion. EE responds positively, showing willingness and openness to engage. The interaction suggests a supportive and attentive dynamic, with ER aiming to share something significant and EE demonstrating readiness to listen and participate in the conversation."
P4G,20180719-211253_768_live,0,ER,train,"Hey, good to be chatting with you tonight.",Initiate conversation,0.5,1,ER and EE are greeting each other and expressing their eagerness to chat. ER then mentions wanting to discuss a vulnerable group and asks if EE has time to talk about it.,"user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and expresses a desire to discuss an important topic, indicating both approachability and a sense of responsibility.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds positively and expresses eagerness to engage in the conversation, showing openness and a willingness to participate, which reflects both warmth and competence.","The conversation begins with a friendly and welcoming tone as both speakers express enthusiasm about engaging with each other. ER introduces a serious topic, indicating a shift towards a more focused and potentially sensitive discussion. EE's response suggests openness and readiness to engage further. The initial pleasantries set a cooperative atmosphere, while ER's transition to the main topic signals a move towards a more purposeful and potentially persuasive dialogue."
P4G,20180719-211253_768_live,1,EE,train,Hi!,Respond to greeting,0.5,1,ER and EE are greeting each other and expressing their eagerness to chat. ER then mentions wanting to discuss a vulnerable group and asks if EE has time to talk about it.,"user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and expresses a desire to discuss an important topic, indicating both approachability and a sense of responsibility.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds positively and expresses eagerness to engage in the conversation, showing openness and a willingness to participate, which reflects both warmth and competence.","The conversation begins with a friendly and welcoming tone as both speakers express enthusiasm about engaging with each other. ER introduces a serious topic, indicating a shift towards a more focused and potentially sensitive discussion. EE's response suggests openness and readiness to engage further. The initial pleasantries set a cooperative atmosphere, while ER's transition to the main topic signals a move towards a more purposeful and potentially persuasive dialogue."
P4G,20180719-211253_768_live,2,EE,train,Looking forward chatting with you too.,Express enthusiasm for conversation,0.5,1,ER and EE are greeting each other and expressing their eagerness to chat. ER then mentions wanting to discuss a vulnerable group and asks if EE has time to talk about it.,"user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and expresses a desire to discuss an important topic, indicating both approachability and a sense of responsibility.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds positively and expresses eagerness to engage in the conversation, showing openness and a willingness to participate, which reflects both warmth and competence.","The conversation begins with a friendly and welcoming tone as both speakers express enthusiasm about engaging with each other. ER introduces a serious topic, indicating a shift towards a more focused and potentially sensitive discussion. EE's response suggests openness and readiness to engage further. The initial pleasantries set a cooperative atmosphere, while ER's transition to the main topic signals a move towards a more purposeful and potentially persuasive dialogue."
P4G,20180719-211253_768_live,3,ER,train,I'd like to talk to use about a vulnerable group.,Introduce topic of discussion,0.5,1,ER and EE are greeting each other and expressing their eagerness to chat. ER then mentions wanting to discuss a vulnerable group and asks if EE has time to talk about it.,"user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and expresses a desire to discuss an important topic, indicating both approachability and a sense of responsibility.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds positively and expresses eagerness to engage in the conversation, showing openness and a willingness to participate, which reflects both warmth and competence.","The conversation begins with a friendly and welcoming tone as both speakers express enthusiasm about engaging with each other. ER introduces a serious topic, indicating a shift towards a more focused and potentially sensitive discussion. EE's response suggests openness and readiness to engage further. The initial pleasantries set a cooperative atmosphere, while ER's transition to the main topic signals a move towards a more purposeful and potentially persuasive dialogue."
