dialogue_id,final_prediction,final_label,final_confidence,fold_predictions,fold_confidences,vote_counts,ground_truth_label,ground_truth_name,has_ground_truth,stated_intention,actual_donation,inconsistency,correct_prediction
20180723-113128_856_live,1,expressed_donate_donated,0.9062474846839904,[1],[np.float64(0.9062474846839905)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180825-102556_172_live,1,expressed_donate_donated,0.9043774485588074,[1],[np.float64(0.9043774485588074)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180808-030338_328_live,1,expressed_donate_donated,0.9747679233551024,[1],[np.float64(0.9747679233551025)],{1: 1},5,unclear_no_donate,True,unclear,False,False,False
20180904-073734_888_live,0,expressed_donate_did,0.9395705223083496,[0],[np.float64(0.9395705223083496)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180826-180300_663_live,0,expressed_donate_did,0.8244097113609314,[0],[np.float64(0.8244097113609314)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180825-082635_438_live,1,expressed_donate_donated,0.9011244773864746,[1],[np.float64(0.9011244773864746)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180826-181249_805_live,1,expressed_donate_donated,0.825475561618805,[1],[np.float64(0.825475561618805)],{1: 1},0,expressed_donate_did,True,donate,False,True,False
20180902-222227_892_live,1,expressed_donate_donated,0.8020580410957336,[1],[np.float64(0.8020580410957336)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180825-090032_956_live,0,expressed_donate_did,0.8719083905220032,[0],[np.float64(0.8719083905220032)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180827-021816_456_live,1,expressed_donate_donated,0.904683554172516,[1],[np.float64(0.9046835541725159)],{1: 1},1,expressed_donate_donated,True,donate,True,True,True
20180723-042342_809_live,3,no_express_no_donate,0.9081550598144532,[3],[np.float64(0.9081550598144531)],{3: 1},3,no_express_no_donate,True,not_donate,False,False,True
20180723-042226_724_live,1,expressed_donate_donated,0.9530503392219544,[1],[np.float64(0.9530503392219544)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180723-094242_630_live,0,expressed_donate_did,0.8279151618480682,[0],[np.float64(0.8279151618480682)],{0: 1},4,unclear_donated,True,unclear,True,False,False
20180825-053544_897_live,0,expressed_donate_did,0.8608860373497009,[0],[np.float64(0.8608860373497009)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180825-042845_49_live,1,expressed_donate_donated,0.9846386909484864,[1],[np.float64(0.9846386909484863)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180808-064649_236_live,0,expressed_donate_did,0.9260390996932985,[0],[np.float64(0.9260390996932983)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180826-073320_803_live,0,expressed_donate_did,0.940673327445984,[0],[np.float64(0.9406733274459839)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180808-030454_242_live,1,expressed_donate_donated,0.9508620500564576,[1],[np.float64(0.9508620500564575)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180825-044613_233_live,1,expressed_donate_donated,0.8552108407020569,[1],[np.float64(0.8552108407020569)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180825-075630_493_live,1,expressed_donate_donated,0.8882281422615051,[1],[np.float64(0.8882281422615051)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180719-204358_391_live,0,expressed_donate_did,0.8273662090301513,[0],[np.float64(0.8273662090301513)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180808-001810_178_live,3,no_express_no_donate,0.9062184691429138,[3],[np.float64(0.9062184691429138)],{3: 1},3,no_express_no_donate,True,not_donate,False,False,True
20180826-053811_708_live,3,no_express_no_donate,0.8491348028182983,[3],[np.float64(0.8491348028182983)],{3: 1},1,expressed_donate_donated,True,donate,True,False,False
20180904-045349_715_live,0,expressed_donate_did,0.8980929851531982,[0],[np.float64(0.8980929851531982)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180903-111245_955_live,1,expressed_donate_donated,0.8639782547950745,[1],[np.float64(0.8639782547950745)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180825-052611_640_live,3,no_express_no_donate,0.9191616654396058,[3],[np.float64(0.9191616654396058)],{3: 1},3,no_express_no_donate,True,not_donate,False,False,True
20180826-061846_932_live,1,expressed_donate_donated,0.909946358203888,[1],[np.float64(0.9099463582038879)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180825-081502_364_live,0,expressed_donate_did,0.8307582616806031,[0],[np.float64(0.8307582616806031)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180826-204907_535_live,1,expressed_donate_donated,0.961460506916046,[1],[np.float64(0.9614605069160461)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180903-094545_472_live,0,expressed_donate_did,0.8894123673439026,[0],[np.float64(0.8894123673439026)],{0: 1},5,unclear_no_donate,True,unclear,False,False,False
20180828-151914_101_live,1,expressed_donate_donated,0.9974462389945984,[1],[np.float64(0.9974462389945984)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180825-045559_409_live,0,expressed_donate_did,0.9169444680213928,[0],[np.float64(0.9169444680213928)],{0: 1},5,unclear_no_donate,True,unclear,False,False,False
20180826-055352_947_live,1,expressed_donate_donated,0.8976959705352783,[1],[np.float64(0.8976959705352783)],{1: 1},3,no_express_no_donate,True,not_donate,False,False,False
20180825-061105_792_live,1,expressed_donate_donated,0.9616881251335144,[1],[np.float64(0.9616881251335144)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180825-062219_874_live,1,expressed_donate_donated,0.9606998562812804,[1],[np.float64(0.9606998562812805)],{1: 1},3,no_express_no_donate,True,not_donate,False,False,False
20180719-211846_176_live,0,expressed_donate_did,0.8275524258613587,[0],[np.float64(0.8275524258613587)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180825-075627_48_live,0,expressed_donate_did,0.8833123087882996,[0],[np.float64(0.8833123087882996)],{0: 1},3,no_express_no_donate,True,not_donate,False,False,False
20180825-060251_387_live,1,expressed_donate_donated,0.8960236072540283,[1],[np.float64(0.8960236072540283)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180826-190151_488_live,0,expressed_donate_did,0.939132595062256,[0],[np.float64(0.9391325950622559)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180826-193546_146_live,0,expressed_donate_did,0.9064337015151978,[0],[np.float64(0.9064337015151978)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180825-073813_141_live,0,expressed_donate_did,0.8371218204498291,[0],[np.float64(0.8371218204498291)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180723-070336_48_live,3,no_express_no_donate,0.7893365144729614,[3],[np.float64(0.7893365144729614)],{3: 1},3,no_express_no_donate,True,not_donate,False,False,True
20180825-075658_709_live,0,expressed_donate_did,0.934396231174469,[0],[np.float64(0.934396231174469)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180903-103835_253_live,0,expressed_donate_did,0.8614025413990021,[0],[np.float64(0.8614025413990021)],{0: 1},5,unclear_no_donate,True,unclear,False,False,False
20180826-013036_595_live,1,expressed_donate_donated,0.9540704011917114,[1],[np.float64(0.9540704011917114)],{1: 1},0,expressed_donate_did,True,donate,False,True,False
20180824-023730_85_live,0,expressed_donate_did,0.8720801830291748,[0],[np.float64(0.8720801830291748)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180808-022730_384_live,0,expressed_donate_did,0.9627730846405028,[0],[np.float64(0.9627730846405029)],{0: 1},5,unclear_no_donate,True,unclear,False,False,False
20180825-055034_34_live,0,expressed_donate_did,0.9297687113285064,[0],[np.float64(0.9297687113285065)],{0: 1},5,unclear_no_donate,True,unclear,False,False,False
20180825-070900_49_live,1,expressed_donate_donated,0.9768926501274108,[1],[np.float64(0.9768926501274109)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180808-004203_194_live,0,expressed_donate_did,0.9194364190101624,[0],[np.float64(0.9194364190101624)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180825-112615_516_live,1,expressed_donate_donated,0.9502569317817688,[1],[np.float64(0.9502569317817688)],{1: 1},5,unclear_no_donate,True,unclear,False,False,False
20180723-113700_19_live,0,expressed_donate_did,0.7562434911727905,[0],[np.float64(0.7562434911727905)],{0: 1},1,expressed_donate_donated,True,donate,True,False,False
20180826-064412_288_live,5,unclear_no_donate,0.8470661342144012,[5],[np.float64(0.8470661342144012)],{5: 1},5,unclear_no_donate,True,unclear,False,False,True
20180825-075844_569_live,0,expressed_donate_did,0.8982779681682587,[0],[np.float64(0.8982779681682587)],{0: 1},1,expressed_donate_donated,True,donate,True,False,False
20180826-043247_456_live,0,expressed_donate_did,0.9236646056175232,[0],[np.float64(0.9236646056175232)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180717-200206_41_live,3,no_express_no_donate,0.8754925727844238,[3],[np.float64(0.8754925727844238)],{3: 1},2,no_express_donated,True,not_donate,True,True,False
20180808-032354_369_live,0,expressed_donate_did,0.8983476907014847,[0],[np.float64(0.8983476907014847)],{0: 1},5,unclear_no_donate,True,unclear,False,False,False
20180826-175233_4_live,0,expressed_donate_did,0.938998031616211,[0],[np.float64(0.938998031616211)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180904-004818_580_live,1,expressed_donate_donated,0.9540732383728028,[1],[np.float64(0.9540732383728028)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180825-084254_215_live,1,expressed_donate_donated,0.8970471739768981,[1],[np.float64(0.8970471739768981)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180826-044626_167_live,0,expressed_donate_did,0.8930973172187805,[0],[np.float64(0.8930973172187805)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180723-120746_371_live,0,expressed_donate_did,0.925356948375702,[0],[np.float64(0.9253569483757019)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180808-013755_350_live,1,expressed_donate_donated,0.8221201539039612,[1],[np.float64(0.8221201539039612)],{1: 1},2,no_express_donated,True,not_donate,True,True,False
20180824-022709_450_live,0,expressed_donate_did,0.8097339272499084,[0],[np.float64(0.8097339272499084)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180827-050740_909_live,1,expressed_donate_donated,0.7894740700721741,[1],[np.float64(0.7894740700721741)],{1: 1},3,no_express_no_donate,True,not_donate,False,False,False
20180723-055038_776_live,1,expressed_donate_donated,0.9755228161811828,[1],[np.float64(0.9755228161811829)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180808-020257_457_live,1,expressed_donate_donated,0.9551446676254272,[1],[np.float64(0.9551446676254273)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180723-052203_936_live,1,expressed_donate_donated,0.9033710956573486,[1],[np.float64(0.9033710956573486)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180719-165941_192_live,0,expressed_donate_did,0.918944776058197,[0],[np.float64(0.918944776058197)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180808-011341_389_live,1,expressed_donate_donated,0.8177520036697388,[1],[np.float64(0.8177520036697388)],{1: 1},2,no_express_donated,True,not_donate,True,True,False
20180723-091508_49_live,0,expressed_donate_did,0.932323694229126,[0],[np.float64(0.932323694229126)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180826-175345_318_live,0,expressed_donate_did,0.8410908460617066,[0],[np.float64(0.8410908460617066)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180723-042344_940_live,0,expressed_donate_did,0.9681240081787108,[0],[np.float64(0.9681240081787109)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180825-085214_779_live,0,expressed_donate_did,0.8352974653244019,[0],[np.float64(0.8352974653244019)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180826-182522_887_live,0,expressed_donate_did,0.8258767366409302,[0],[np.float64(0.8258767366409302)],{0: 1},1,expressed_donate_donated,True,donate,True,False,False
20180825-112434_860_live,0,expressed_donate_did,0.9393268465995788,[0],[np.float64(0.9393268465995789)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180826-062736_188_live,0,expressed_donate_did,0.8240387797355652,[0],[np.float64(0.8240387797355652)],{0: 1},5,unclear_no_donate,True,unclear,False,False,False
20180719-122534_38_live,1,expressed_donate_donated,0.9804383516311646,[1],[np.float64(0.9804383516311646)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180808-035715_390_live,1,expressed_donate_donated,0.8490938782691956,[1],[np.float64(0.8490938782691956)],{1: 1},0,expressed_donate_did,True,donate,False,True,False
20180723-091102_738_live,3,no_express_no_donate,0.7896267294883728,[3],[np.float64(0.7896267294883728)],{3: 1},5,unclear_no_donate,True,unclear,False,False,False
20180723-080158_200_live,3,no_express_no_donate,0.9329338431358336,[3],[np.float64(0.9329338431358337)],{3: 1},3,no_express_no_donate,True,not_donate,False,False,True
20180826-062356_655_live,0,expressed_donate_did,0.8989415466785431,[0],[np.float64(0.8989415466785431)],{0: 1},3,no_express_no_donate,True,not_donate,False,False,False
20180827-034056_964_live,3,no_express_no_donate,0.931114673614502,[3],[np.float64(0.931114673614502)],{3: 1},3,no_express_no_donate,True,not_donate,False,False,True
20180723-091419_371_live,0,expressed_donate_did,0.8201261043548584,[0],[np.float64(0.8201261043548584)],{0: 1},1,expressed_donate_donated,True,donate,True,False,False
20180826-053845_531_live,1,expressed_donate_donated,0.9625285267829896,[1],[np.float64(0.9625285267829895)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180825-074318_984_live,1,expressed_donate_donated,0.9770816445350649,[1],[np.float64(0.9770816445350647)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180808-062753_12_live,0,expressed_donate_did,0.9751273155212402,[0],[np.float64(0.9751273155212402)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180825-091558_618_live,0,expressed_donate_did,0.8994978666305542,[0],[np.float64(0.8994978666305542)],{0: 1},3,no_express_no_donate,True,not_donate,False,False,False
20180826-013831_953_live,1,expressed_donate_donated,0.8979186415672302,[1],[np.float64(0.8979186415672302)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180904-032932_423_live,1,expressed_donate_donated,0.8843862891197205,[1],[np.float64(0.8843862891197205)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180827-034916_910_live,1,expressed_donate_donated,0.9093671321868896,[1],[np.float64(0.9093671321868897)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180829-082113_449_live,1,expressed_donate_donated,0.9121369957923888,[1],[np.float64(0.9121369957923889)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180808-065307_529_live,3,no_express_no_donate,0.8360618233680726,[3],[np.float64(0.8360618233680726)],{3: 1},3,no_express_no_donate,True,not_donate,False,False,True
20180825-043516_619_live,3,no_express_no_donate,0.9043459177017212,[3],[np.float64(0.9043459177017212)],{3: 1},3,no_express_no_donate,True,not_donate,False,False,True
20180825-080436_824_live,1,expressed_donate_donated,0.9474509954452516,[1],[np.float64(0.9474509954452515)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180827-035202_980_live,3,no_express_no_donate,0.9795747250318528,[3],[np.float64(0.9795747250318527)],{3: 1},3,no_express_no_donate,True,not_donate,False,False,True
20180825-092012_333_live,3,no_express_no_donate,0.976076528429985,[3],[np.float64(0.976076528429985)],{3: 1},3,no_express_no_donate,True,not_donate,False,False,True
20180826-180009_407_live,0,expressed_donate_did,0.9635441422462464,[0],[np.float64(0.9635441422462463)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180723-103902_895_live,0,expressed_donate_did,0.7997255206108094,[0],[np.float64(0.7997255206108094)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180808-075816_12_live,1,expressed_donate_donated,0.9354747414588928,[1],[np.float64(0.9354747414588929)],{1: 1},0,expressed_donate_did,True,donate,False,True,False
20180827-032811_159_live,1,expressed_donate_donated,0.9735427498817444,[1],[np.float64(0.9735427498817444)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180826-181903_395_live,0,expressed_donate_did,0.937867033481598,[0],[np.float64(0.937867033481598)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180824-130121_505_live,1,expressed_donate_donated,0.9015177845954896,[1],[np.float64(0.9015177845954895)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180719-120436_413_live,0,expressed_donate_did,0.934769356250763,[0],[np.float64(0.934769356250763)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180826-023807_40_live,1,expressed_donate_donated,0.9725202083587646,[1],[np.float64(0.9725202083587646)],{1: 1},1,expressed_donate_donated,True,donate,True,True,True
20180825-111850_152_live,1,expressed_donate_donated,0.8855723142623901,[1],[np.float64(0.8855723142623901)],{1: 1},0,expressed_donate_did,True,donate,False,True,False
20180826-060201_521_live,0,expressed_donate_did,0.8226528167724609,[0],[np.float64(0.8226528167724609)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180719-211301_463_live,1,expressed_donate_donated,0.9021485805511474,[1],[np.float64(0.9021485805511474)],{1: 1},0,expressed_donate_did,True,donate,False,True,False
20180826-180314_928_live,0,expressed_donate_did,0.7864215135574341,[0],[np.float64(0.7864215135574341)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180723-034654_121_live,0,expressed_donate_did,0.9064152121543884,[0],[np.float64(0.9064152121543885)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180825-064038_102_live,3,no_express_no_donate,0.9282562375068664,[3],[np.float64(0.9282562375068665)],{3: 1},3,no_express_no_donate,True,not_donate,False,False,True
20180826-061949_863_live,0,expressed_donate_did,0.9775435090065002,[0],[np.float64(0.9775435090065002)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180824-020419_695_live,0,expressed_donate_did,0.8994326949119568,[0],[np.float64(0.8994326949119568)],{0: 1},1,expressed_donate_donated,True,donate,True,False,False
20180826-020520_686_live,0,expressed_donate_did,0.8686489015817642,[0],[np.float64(0.8686489015817642)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180723-031022_254_live,1,expressed_donate_donated,0.9101291179656984,[1],[np.float64(0.9101291179656983)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180826-182047_49_live,0,expressed_donate_did,0.8207350134849548,[0],[np.float64(0.8207350134849548)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180808-081317_142_live,5,unclear_no_donate,0.857878640294075,[5],[np.float64(0.857878640294075)],{5: 1},5,unclear_no_donate,True,unclear,False,False,True
20180825-080802_964_live,1,expressed_donate_donated,0.9594351649284364,[1],[np.float64(0.9594351649284363)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180904-025026_901_live,0,expressed_donate_did,0.7932345509529114,[0],[np.float64(0.7932345509529114)],{0: 1},1,expressed_donate_donated,True,donate,True,False,False
20180904-030739_178_live,0,expressed_donate_did,0.8200907826423645,[0],[np.float64(0.8200907826423645)],{0: 1},5,unclear_no_donate,True,unclear,False,False,False
20180903-132332_521_live,3,no_express_no_donate,0.7921280860900879,[3],[np.float64(0.7921280860900879)],{3: 1},3,no_express_no_donate,True,not_donate,False,False,True
20180825-080131_220_live,1,expressed_donate_donated,0.972373217344284,[1],[np.float64(0.9723732173442841)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180723-074147_879_live,0,expressed_donate_did,0.9584041833877563,[0],[np.float64(0.9584041833877563)],{0: 1},5,unclear_no_donate,True,unclear,False,False,False
20180903-134122_237_live,3,no_express_no_donate,0.7878714561462402,[3],[np.float64(0.7878714561462402)],{3: 1},1,expressed_donate_donated,True,donate,True,False,False
20180825-043229_970_live,0,expressed_donate_did,0.9585237503051758,[0],[np.float64(0.9585237503051758)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180827-024612_480_live,0,expressed_donate_did,0.897270992398262,[0],[np.float64(0.897270992398262)],{0: 1},5,unclear_no_donate,True,unclear,False,False,False
20180808-032545_201_live,0,expressed_donate_did,0.8591377139091492,[0],[np.float64(0.8591377139091492)],{0: 1},5,unclear_no_donate,True,unclear,False,False,False
20180826-174459_637_live,0,expressed_donate_did,0.9544032573699952,[0],[np.float64(0.9544032573699951)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180826-175705_624_live,0,expressed_donate_did,0.8771028220653534,[0],[np.float64(0.8771028220653534)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180904-043300_214_live,3,no_express_no_donate,0.8134043693542481,[3],[np.float64(0.8134043693542481)],{3: 1},5,unclear_no_donate,True,unclear,False,False,False
20180808-064212_144_live,0,expressed_donate_did,0.9717212557792664,[0],[np.float64(0.9717212557792664)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180723-100140_767_live,0,expressed_donate_did,0.794398033618927,[0],[np.float64(0.794398033618927)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180808-042339_620_live,0,expressed_donate_did,0.9563109517097472,[0],[np.float64(0.9563109517097473)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180826-182048_519_live,0,expressed_donate_did,0.8018682479858399,[0],[np.float64(0.8018682479858399)],{0: 1},5,unclear_no_donate,True,unclear,False,False,False
20180825-075913_208_live,3,no_express_no_donate,0.724927031993866,[3],[np.float64(0.724927031993866)],{3: 1},0,expressed_donate_did,True,donate,False,True,False
20180723-034109_263_live,1,expressed_donate_donated,0.973723292350769,[1],[np.float64(0.973723292350769)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180825-063009_943_live,3,no_express_no_donate,0.8969347238540649,[3],[np.float64(0.8969347238540649)],{3: 1},3,no_express_no_donate,True,not_donate,False,False,True
20180723-122005_335_live,5,unclear_no_donate,0.8709187358617783,[5],[np.float64(0.8709187358617783)],{5: 1},5,unclear_no_donate,True,unclear,False,False,True
20180826-220838_141_live,0,expressed_donate_did,0.9365010023117064,[0],[np.float64(0.9365010023117065)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180723-105210_403_live,3,no_express_no_donate,0.7581981658935547,[3],[np.float64(0.7581981658935547)],{3: 1},0,expressed_donate_did,True,donate,False,True,False
20180808-075748_956_live,0,expressed_donate_did,0.873867642879486,[0],[np.float64(0.873867642879486)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180723-073908_711_live,1,expressed_donate_donated,0.9105714440345763,[1],[np.float64(0.9105714440345765)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180826-174933_275_live,3,no_express_no_donate,0.8831310510635376,[3],[np.float64(0.8831310510635376)],{3: 1},3,no_express_no_donate,True,not_donate,False,False,True
20180824-120504_474_live,3,no_express_no_donate,0.9356031060218812,[3],[np.float64(0.9356031060218811)],{3: 1},3,no_express_no_donate,True,not_donate,False,False,True
