dataset,dialogue_id,utterance_idx,speaker,utterance,gpt-4o_speaker_intention
ji,95462c86-1d6e-11e9-aedc-6c96cfdf0295,1,worker,Hi there!,Respond to greeting
ji,95462c86-1d6e-11e9-aedc-6c96cfdf0295,2,recruiter,Let me see what I have for you,Indicate intention to find suitable options
ji,95462c86-1d6e-11e9-aedc-6c96cfdf0295,3,worker,"Okay, thanks!",Express gratitude and readiness
ji,95462c86-1d6e-11e9-aedc-6c96cfdf0295,4,worker,How does this look?,Seek feedback on a proposal
ji,95462c86-1d6e-11e9-aedc-6c96cfdf0295,5,recruiter,Lets have a look,Agree to review the proposal
ji,95462c86-1d6e-11e9-aedc-6c96cfdf0295,6,worker,I think this would do well for me as I'd be working hard but be able to balance it out with holidays,Express belief that the proposal is beneficial
ji,95462c86-1d6e-11e9-aedc-6c96cfdf0295,7,recruiter,No I don't have that but here's mine that works for us both I believe,Reject the proposal and offer an alternative
ji,95462c86-1d6e-11e9-aedc-6c96cfdf0295,8,recruiter,Deal?,Seek agreement on the new proposal
ji,95462c86-1d6e-11e9-aedc-6c96cfdf0295,9,worker,How about this?,Propose an alternative option
ji,95462c86-1d6e-11e9-aedc-6c96cfdf0295,10,recruiter,That's worse than before,Express dissatisfaction with the new proposal
ji,95462c86-1d6e-11e9-aedc-6c96cfdf0295,11,recruiter,Here's my last option,Offer a final option
ji,95462c86-1d6e-11e9-aedc-6c96cfdf0295,12,recruiter,Deal?,Seek agreement on the final proposal
ji,95462c86-1d6e-11e9-aedc-6c96cfdf0295,13,worker,that wasn't a fair change. how's this?,Express dissatisfaction and propose another alternative
ji,91b43934-1d6e-11e9-996c-6c96cfdf0295,0,recruiter,Hi what position do you want?,To inquire about the specific position the worker is interested in.
ji,91b43934-1d6e-11e9-996c-6c96cfdf0295,1,worker,hi there!  i'd like to work at apple as an engineer or manager with good pay :),To express interest in working at Apple as an engineer or manager with good pay.
ji,91b43934-1d6e-11e9-996c-6c96cfdf0295,2,recruiter,sales at amazon or apple is the highest paying,To inform the worker about the highest paying positions at Amazon or Apple.
ji,91b43934-1d6e-11e9-996c-6c96cfdf0295,3,worker,how good paying?,To seek clarification on how good the pay is for the sales position.
ji,91b43934-1d6e-11e9-996c-6c96cfdf0295,4,recruiter,engineer pays better of those 2,To provide information that the engineer position pays better than sales.
ji,91b43934-1d6e-11e9-996c-6c96cfdf0295,5,worker,Okay.,To acknowledge the information provided by the recruiter.
ji,91b43934-1d6e-11e9-996c-6c96cfdf0295,6,worker,Is sales a big difference for you?,To inquire if the recruiter considers sales to be significantly different in terms of pay.
ji,91b43934-1d6e-11e9-996c-6c96cfdf0295,7,recruiter,Ya pretty big could get you more.  what's most important to you?,To confirm that sales could offer significantly more pay and to ask about the worker's priorities.
ji,91b43934-1d6e-11e9-996c-6c96cfdf0295,8,worker,i have a pretty high pay requirement,To communicate that they have a high pay requirement.
ji,91b43934-1d6e-11e9-996c-6c96cfdf0295,9,recruiter,could you do 45 or 3 day?,To inquire if the worker is open to a 45-hour workweek or a 3-day workweek.
ji,92809b80-1d6e-11e9-8ce8-6c96cfdf0295,0,worker,hello,Initiate conversation
ji,92809b80-1d6e-11e9-8ce8-6c96cfdf0295,1,recruiter,Hello,Respond to greeting
ji,92809b80-1d6e-11e9-8ce8-6c96cfdf0295,2,recruiter,Where would you like to work?,Inquire about the worker's job preferences
ji,92809b80-1d6e-11e9-8ce8-6c96cfdf0295,3,worker,apple manager?,Express interest in a managerial position at Apple
ji,92809b80-1d6e-11e9-8ce8-6c96cfdf0295,4,worker,or google sales?,Express interest in a sales position at Google
ji,92809b80-1d6e-11e9-8ce8-6c96cfdf0295,5,worker,apple sales?,Express interest in a sales position at Apple
ji,92809b80-1d6e-11e9-8ce8-6c96cfdf0295,6,recruiter,No google,Inform the worker that a position at Google is not available
ji,92809b80-1d6e-11e9-8ce8-6c96cfdf0295,7,recruiter,Apple sales might work,Inform the worker that a sales position at Apple is possible
ji,92809b80-1d6e-11e9-8ce8-6c96cfdf0295,8,recruiter,If you want to work in seoul,Provide additional information about the location of the Apple sales position
ji,92809b80-1d6e-11e9-8ce8-6c96cfdf0295,9,worker,ok,Acknowledge the information provided by the recruiter
ji,88a4080c-1d6e-11e9-8627-6c96cfdf0295,0,worker,"hello, looking for an engineer job best case with google? Have anything like that?",The speaker intends to inquire about the availability of engineering job opportunities at Google.
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,0,recruiter,Hello there,Initiate conversation
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,1,worker,"Hey, I would love to be an apple manager!",Express desire to work as an Apple manager
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,2,recruiter,I am looking for talented workers to join our company.,Inform about job opportunities
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,3,recruiter,"Unfortunately, Apple managers are not in demand. We do have positions open at Google- for sales and designing. Could you work there?",Clarify available positions and inquire about interest
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,4,recruiter,Amazing is hiring as well for designer and sales.,Provide additional job opportunities
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,5,worker,"no, unfortunatly Google and I are not a good fit",Express disinterest in working for Google
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,6,worker,I would be willing to work for amazon as a manager though,Express willingness to work for Amazon as a manager
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,7,recruiter,I see. Hopefully we can work out a solution that is fair. I'll try to help you land a new position.,Express willingness to help find a suitable position
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,8,recruiter,Could you work in Beijing or Seoul as a Manager for Amazon?,Inquire about willingness to work in specific locations
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,9,recruiter,I could offer you a job in those cities.,Offer job opportunities in specific locations
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,10,worker,I will need a max salary and high holidays to work in bejing,State conditions for working in Beijing
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,11,worker,I really would prefer tokyo or sydney,Express preference for other locations
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,12,recruiter,Goodness. This may not work out by the look of it.,Express doubt about reaching an agreement
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,13,recruiter,Let me see what I can do with what you've told me.,Express intention to explore options
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,14,recruiter,I have a position open in Tokyo if we can compromise a bit on holidays and salary,Offer a position in Tokyo with conditions
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,15,worker,yes I think that will be ok,Agree to the proposed position with conditions
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,16,recruiter,OK.,Acknowledge agreement
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,17,recruiter,So we have Amazon Manager in Tokyo.,Confirm job position and location
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,18,recruiter,"If you have salary/holiday requirements for that location, please advise.",Request specific requirements for salary and holidays
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,19,worker,I can do that at 40 for the salary.,State salary requirement
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,20,recruiter,Could you meet in the middle at 32?,Propose a compromise on salary
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,21,worker,yes if you can go up to 4 on the holidays,Agree to compromise if holidays are adjusted
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,22,recruiter,I'm already at not so good and we're entering the poor territory by upping the holidays/salary. That is because the position isn't in high demand in Tokyo.,Express concern about the feasibility of the offer
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,23,recruiter,"For me, It's ideal for you to work at Google and in a city like Beijing. We'll have to do the best we can do if we're to agree on this..",Express preference for a different job and location
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,24,recruiter,I,Incomplete statement
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,25,worker,I also am barely into not so good.  This is unfortunate for both of us because we seem to need opposite things.  I can accept 32 and leave the holidays at 3,Express willingness to compromise further
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,26,recruiter,"For me, Apple and Syndey are like 0, so I'm trying to be fair to us both.",Express intention to be fair in negotiations
ji,922f8970-1d6e-11e9-8911-6c96cfdf0295,27,recruiter,OK. let's try what you suggested then.,Agree to worker's suggestion
ji,95f99474-1d6e-11e9-bdc4-6c96cfdf0295,0,recruiter,hello,initiate conversation
ji,95f99474-1d6e-11e9-bdc4-6c96cfdf0295,1,recruiter,i have manager and sales jobs at apple,inform about available job positions
ji,95f99474-1d6e-11e9-bdc4-6c96cfdf0295,2,worker,"I am looking for a sales position with Apple, that is full time 5 days a week",express desire for a specific job position and work schedule
ji,95f99474-1d6e-11e9-bdc4-6c96cfdf0295,3,recruiter,can you do tokyo ?,assess worker's willingness to relocate to Tokyo
ji,95f99474-1d6e-11e9-bdc4-6c96cfdf0295,4,worker,How about Amazon?,inquire about job opportunities at Amazon
ji,95f99474-1d6e-11e9-bdc4-6c96cfdf0295,5,recruiter,yes but the perks will be low,inform about the downside of Amazon's job perks
ji,95f99474-1d6e-11e9-bdc4-6c96cfdf0295,6,worker,"yes, but my salary would need to reflect the relocation",express condition for accepting a job offer involving relocation
ji,95f99474-1d6e-11e9-bdc4-6c96cfdf0295,7,recruiter,how is this,seek feedback or confirmation on the proposed offer
ji,9676ade2-1d6e-11e9-a252-6c96cfdf0295,0,worker,Hi there.,Initiate conversation
ji,9676ade2-1d6e-11e9-a252-6c96cfdf0295,1,worker,I'm looking for a position in sales at either amazon or facebook.,Express desire to find a sales position at Amazon or Facebook
ji,9676ade2-1d6e-11e9-a252-6c96cfdf0295,2,recruiter,How about designer?,Suggest an alternative position as a designer
ji,9676ade2-1d6e-11e9-a252-6c96cfdf0295,3,worker,Unfortunately I don't have design experience.,Express inability to take a designer position due to lack of experience
ji,9676ade2-1d6e-11e9-a252-6c96cfdf0295,4,worker,"I could maybe do a manager position at facebook, but it would have to be in tokyo.",Express willingness to consider a manager position at Facebook in Tokyo
ji,9676ade2-1d6e-11e9-a252-6c96cfdf0295,5,recruiter,"Ok, sales in Facebook, but I need you to work in Beijing",Propose a sales position at Facebook in Beijing
ji,9676ade2-1d6e-11e9-a252-6c96cfdf0295,6,worker,"Beijing is tough for me, but if that's the only option I suppose I can make it work if the weekly holidays are high.",Express reluctance about Beijing but willingness to consider it with sufficient holidays
ji,9676ade2-1d6e-11e9-a252-6c96cfdf0295,7,recruiter,"Ok, I can offer good vacation how about this?",Offer a compromise with good vacation benefits
ji,8d675128-1d6e-11e9-a69b-6c96cfdf0295,0,recruiter,Hello,Initiate conversation
ji,8d675128-1d6e-11e9-a69b-6c96cfdf0295,1,worker,hello there,Respond to greeting
ji,8d675128-1d6e-11e9-a69b-6c96cfdf0295,2,recruiter,"we have designer roles at google, amazon",Inform about available job roles
ji,8d675128-1d6e-11e9-a69b-6c96cfdf0295,3,recruiter,which one do you prefer?,Inquire about worker's preference
ji,8d675128-1d6e-11e9-a69b-6c96cfdf0295,4,worker,"as a designer role, i would prefer amazon",Express preference for Amazon
ji,8d675128-1d6e-11e9-a69b-6c96cfdf0295,5,recruiter,Great,Acknowledge worker's preference
ji,8d675128-1d6e-11e9-a69b-6c96cfdf0295,6,recruiter,Would Tokyp work for you,Inquire about location suitability
ji,8d675128-1d6e-11e9-a69b-6c96cfdf0295,7,worker,for salary im would like 38/hr i can wiggle a little,State salary expectation and willingness to negotiate
ji,8d675128-1d6e-11e9-a69b-6c96cfdf0295,8,recruiter,We have an immediate opening there,Inform about job availability
ji,8d675128-1d6e-11e9-a69b-6c96cfdf0295,9,worker,sure tokyo is acceptable,Confirm location suitability
ji,8d675128-1d6e-11e9-a69b-6c96cfdf0295,10,recruiter,"Well, this is the best offer I can",Indicate limitation on offer
ji,8d675128-1d6e-11e9-a69b-6c96cfdf0295,11,recruiter,Pay of 38 as per your request,Confirm salary offer as per worker's request
ji,8d675128-1d6e-11e9-a69b-6c96cfdf0295,12,worker,hmm,Express hesitation or contemplation
ji,8d675128-1d6e-11e9-a69b-6c96cfdf0295,13,worker,i'll tell you what,Signal intention to propose a counteroffer
ji,8d675128-1d6e-11e9-a69b-6c96cfdf0295,14,worker,"if you give me 4 days ill back down to 36, hows that?",Propose a counteroffer with conditions
ji,8d675128-1d6e-11e9-a69b-6c96cfdf0295,15,recruiter,sorry in that case pay be 33.,Decline counteroffer and propose a lower salary
ji,8d675128-1d6e-11e9-a69b-6c96cfdf0295,16,worker,34 ill do it,Make a final counteroffer
ji,9608c174-1d6e-11e9-a579-6c96cfdf0295,0,recruiter,hello,Initiate conversation
ji,9608c174-1d6e-11e9-a579-6c96cfdf0295,1,worker,hello,Acknowledge and reciprocate greeting
ji,9608c174-1d6e-11e9-a579-6c96cfdf0295,2,recruiter,i have great amazon and apple jobs available,Inform about job opportunities
ji,9608c174-1d6e-11e9-a579-6c96cfdf0295,3,worker,Apple Designer,Express interest in a specific job role
ji,9608c174-1d6e-11e9-a579-6c96cfdf0295,4,recruiter,designer is very low... can you do manager or sales?,Suggest alternative job roles
ji,9608c174-1d6e-11e9-a579-6c96cfdf0295,5,worker,What Amazon Designer,Inquire about specific job role at Amazon
ji,9608c174-1d6e-11e9-a579-6c96cfdf0295,6,worker,hello,Attempt to re-engage in conversation
ji,9608c174-1d6e-11e9-a579-6c96cfdf0295,7,recruiter,i dont have any designer,Clarify unavailability of specific job role
ji,9608c174-1d6e-11e9-a579-6c96cfdf0295,8,recruiter,can you do manager or sales,Repeat suggestion for alternative job roles
ji,9608c174-1d6e-11e9-a579-6c96cfdf0295,9,recruiter,for apple or amazon?,Seek clarification on worker's preference for company
ji,9608c174-1d6e-11e9-a579-6c96cfdf0295,10,worker,manager at apple but need good salary,Express conditional interest in a managerial role with salary requirement
ji,9608c174-1d6e-11e9-a579-6c96cfdf0295,11,worker,hello,Attempt to re-engage in conversation
ji,9608c174-1d6e-11e9-a579-6c96cfdf0295,12,recruiter,taht works,Acknowledge and agree to worker's condition
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,0,recruiter,Hello!,To initiate the conversation.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,1,recruiter,Am I talking to a potential job candidate or worker?,To identify the person they are speaking with.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,2,worker,Hi there!,To greet the recruiter.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,3,recruiter,I'd like to offer you a Manager positions at Google or Facebook.,To offer job positions to the worker.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,4,worker,I;m looking for a job...,To express interest in finding a job.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,5,recruiter,Or would you rather be a designer?,To inquire about the worker's job preference.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,6,worker,manager at google is workable,To express interest in the manager position at Google.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,7,worker,i have experience in the area.,To provide information about their experience.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,8,recruiter,OK. Do you have a city preference?,To inquire about the worker's city preference.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,9,recruiter,Great!,To express approval or satisfaction.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,10,recruiter,We have spots open in Sydney and also Beijing,To provide information about job locations.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,11,worker,Is this available in Beijing?,To confirm the availability of the position in Beijing.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,12,recruiter,Yes!,To confirm the availability of the position in Beijing.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,13,worker,"here's a fair offer, I think",To propose a job offer.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,14,worker,oops,To acknowledge a mistake.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,15,worker,pardon,To apologize for the mistake.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,16,recruiter,Now we were talking more of a manager position,To clarify the job position being discussed.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,17,worker,"yea, my abd",To acknowledge the mistake and correct it.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,18,recruiter,OK. We are likely close to a deal.,To indicate progress towards a job agreement.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,19,recruiter,"If you can accept slightly lower salary/holidays, we can agree on this proposal.",To propose a negotiation on salary and holidays.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,20,worker,Up the salary to 32 and we got a deal,To counter the recruiter's proposal with a salary demand.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,21,recruiter,OK,To acknowledge the worker's counterproposal.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,22,worker,"Errr, that's worse than it was",To express dissatisfaction with the recruiter's response.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,23,recruiter,"Alternatively, we can agree on 35 for a salary?",To propose an alternative salary offer.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,24,recruiter,Which is more important? salary or holiday number,To inquire about the worker's priorities between salary and holidays.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,25,worker,holidays,To express a preference for more holidays.
ji,9246f9c0-1d6e-11e9-9b75-6c96cfdf0295,26,recruiter,OK. I will adjust that number up,To agree to adjust the holiday offer.
ji,938b5da8-1d6e-11e9-885b-6c96cfdf0295,0,worker,Hi,Initiate conversation
ji,938b5da8-1d6e-11e9-885b-6c96cfdf0295,1,recruiter,hello,Respond to greeting
ji,938b5da8-1d6e-11e9-885b-6c96cfdf0295,2,worker,Hope all 8s well today,Express goodwill and inquire about the recruiter's well-being
ji,938b5da8-1d6e-11e9-885b-6c96cfdf0295,3,recruiter,what are you looking for friend?,Inquire about the worker's job preferences
ji,938b5da8-1d6e-11e9-885b-6c96cfdf0295,4,recruiter,yes i am well thank yoiu,Acknowledge the worker's goodwill and express gratitude
ji,938b5da8-1d6e-11e9-885b-6c96cfdf0295,5,worker,Good to hear. Preferable sales at apple..but others at apple work too. Salary and position very important to me,Express job preferences and priorities
ji,938b5da8-1d6e-11e9-885b-6c96cfdf0295,6,recruiter,I have engineer at apple,Offer a job position
ji,938b5da8-1d6e-11e9-885b-6c96cfdf0295,7,recruiter,this is good offer my frined,Promote the job offer
ji,938b5da8-1d6e-11e9-885b-6c96cfdf0295,8,worker,Eh. okay..can do relatively higher salary. In toyoko?,Express hesitation and inquire about salary and location
ji,938b5da8-1d6e-11e9-885b-6c96cfdf0295,9,worker,Its mid 30s for me,Provide personal salary expectation
ji,938b5da8-1d6e-11e9-885b-6c96cfdf0295,10,recruiter,34 dollars,State the offered salary
ji,938b5da8-1d6e-11e9-885b-6c96cfdf0295,11,worker,Thanks. that's fine,Accept the salary offer
ji,95bdb97a-1d6e-11e9-85ba-6c96cfdf0295,0,recruiter,Hi,Initiate conversation
ji,95bdb97a-1d6e-11e9-85ba-6c96cfdf0295,1,recruiter,I need sales positions,Express need for filling sales positions
ji,95bdb97a-1d6e-11e9-85ba-6c96cfdf0295,2,recruiter,In Tokyo or Sydney,Specify location preference for the positions
ji,95bdb97a-1d6e-11e9-85ba-6c96cfdf0295,3,worker,lets see,Indicate willingness to check or consider the request
ji,95bdb97a-1d6e-11e9-85ba-6c96cfdf0295,4,recruiter,"And what's more important, holiday or salary?",Seek clarification on priority between holiday and salary
ji,95bdb97a-1d6e-11e9-85ba-6c96cfdf0295,5,recruiter,Hello?,Prompt for a response or confirmation
ji,95bdb97a-1d6e-11e9-85ba-6c96cfdf0295,6,recruiter,If that's the position and workplace you want I can do it but not at that salary for sure,Clarify conditions and limitations regarding the position and salary
ji,91138ac8-1d6e-11e9-ae02-6c96cfdf0295,0,worker,"Hi, how are you?",Initiate conversation and establish rapport
