dataset,dialogue_id,utterance_idx,speaker,split,utterance,gpt-4o_intention
casino,157,4,mturk_agent_1,valid,I have checked and see that it is in the rainy season! I know I need to pack some extra firewood if you can spare me some??,Share information about weather and request extra firewood
casino,157,5,mturk_agent_2,valid,yes. I will definitely give you. I bring extra woods.,Agree to provide extra firewood and confirm bringing extra wood
casino,157,6,mturk_agent_1,valid,Great! Can I take 2 and you can have 1?? I am willing to give you 2 of the water then!,Propose a trade of firewood for water
casino,157,7,mturk_agent_2,valid,Its pleasure to me. Will you give food extra 1 to me?,Agree to the trade and request extra food
casino,157,8,mturk_agent_1,valid,"I suppose I could do that. I am worried a disease has possibly spread to the area due to the very wet weather, but I can sure fish for most of my food then!",Agree to provide extra food and express concern about potential disease
casino,157,9,mturk_agent_2,valid,"dont worry at all. while preparing  trip, we should take proper precautions. Hence at every moment we are safe",Reassure and emphasize the importance of taking precautions
casino,139,0,mturk_agent_1,valid,"Hi, I hope we can work together to get an offer that benefits both of us.🙂",Initiate collaboration and establish a positive tone
casino,139,1,mturk_agent_2,valid,I agree! Nice to meet you... I have two boys who always eat! Any chance I canget 2 food?,Express agreement and introduce personal context to justify a request for food
casino,139,2,mturk_agent_1,valid,Food is the item of greatest value to you?,Seek clarification on the value of food to the other party
casino,139,3,mturk_agent_2,valid,It is! What do you think?,Confirm the high value of food and seek the other party's opinion
casino,139,4,mturk_agent_1,valid,The item of greatest value to me is WATER. Before thinking about an offer I need to know what your priorities are and you need to know mine in order to conclude something fair for both of you.,State own priority (water) and emphasize the need for mutual understanding of priorities
casino,139,5,mturk_agent_2,valid,My priority is FOOD. How about I get 3 food and you get 3 water?,Restate priority (food) and propose a specific offer
casino,139,6,mturk_agent_1,valid,What is the least valuable item for you?,Inquire about the least valuable item to the other party
casino,139,7,mturk_agent_2,valid,least for me is water,Identify water as the least valuable item
casino,139,8,mturk_agent_1,valid,"For me is the firewood,  Lets do this: I give u 2 food 1 water and 1 firewood. and i get 2 waters 1 food and 2 firewood",State own least valuable item (firewood) and propose a detailed offer
casino,139,9,mturk_agent_2,valid,sounds good,Express agreement with the proposed offer
casino,473,0,mturk_agent_2,train,"Hello, can we make a deal?",Initiate negotiation
casino,473,1,mturk_agent_1,train,Of course! Are you going camping too?,Agree to negotiate and establish common ground
casino,473,2,mturk_agent_2,train,Yes.  I have 2 children so I was thinking that I will need extra water. 🙂,Provide context and justify need for extra water
casino,473,3,mturk_agent_1,train,"I too need extra water, but I'm willing to negotiate on the other things if you are! 🙂",Express own need for water and willingness to negotiate
casino,473,4,mturk_agent_2,train,"If I take 2 waters, will you accept 2 firewood?",Propose a specific trade
casino,473,5,mturk_agent_1,train,"You take 2 waters, I'll take 2 firewood and 2 food?",Counter-propose a different trade
casino,473,6,mturk_agent_2,train,What about you take 1 water and the firewood.  I take 2 waters and all the food,Adjust proposal to seek a more favorable deal
casino,473,7,mturk_agent_1,train,"That leaves me with very little. Can I have 1 water, 2 firewood, and 2 food?",Express concern and propose a balanced trade
casino,473,8,mturk_agent_2,train,you would get 1 water and all 3 firewood.  I would get 2 water and all 3 food.  You have one less than me but the food is worth less,Justify the proposed trade and explain reasoning
casino,473,9,mturk_agent_1,train,I will make it work. Let's make a deal!,Agree to the proposed deal
casino,473,10,mturk_agent_2,train,Perfect. 🙂,Confirm agreement and conclude negotiation
casino,424,0,mturk_agent_2,train,Hello how are you?,Greeting and initiating conversation
casino,424,1,mturk_agent_1,train,Hey there fellow camper! I am great! How are you?,Responding to greeting and expressing well-being
casino,424,2,mturk_agent_2,train,I'm doing well and very excited about my camping trip.,Expressing excitement and sharing personal state
casino,424,3,mturk_agent_1,train,Me as well. What item is your greatest priority for your trip?,Expressing shared excitement and inquiring about priorities
casino,424,4,mturk_agent_2,train,Firewood and my second priority is water.  I'm open to negotiating though.,Stating priorities and showing openness to negotiation
casino,424,5,mturk_agent_1,train,Glad to hear because I really need firewood and food. What do you propose?,Expressing needs and inviting a proposal
casino,424,6,mturk_agent_2,train,I can give you 3 packages of food but I really need the additional firewood.,Offering a trade and emphasizing need for firewood
casino,424,7,mturk_agent_1,train,I like that. How about 3 water for you and 1 firewood?,Proposing a counter-offer
casino,424,8,mturk_agent_2,train,I can give 3 packages of food and 1 water.,Modifying the offer
casino,424,9,mturk_agent_1,train,"So 1 firewood, 0 food and 3 water for you?",Clarifying the terms of the offer
casino,424,10,mturk_agent_2,train,"No 3 packages of firewood, 1 package of water, and I can give you 3 packages of food.  I need the Firewood the most.",Correcting the terms and emphasizing the need for firewood
casino,424,11,mturk_agent_1,train,Tell me why you need so much firewood?,Requesting justification for the need
casino,424,12,mturk_agent_2,train,I have other people coming with me and we don't have insulated sleeping bags.  The temperature also drops drastically at night.,Providing justification for the need
casino,424,13,mturk_agent_1,train,Well i need at least 1 firewood so we have to make that work,Stating a non-negotiable need
casino,424,14,mturk_agent_2,train,How about this I get 2 packages of firewood and 2 packages of water.  You can have all my packages of food. This will be a hunting camp trip for me.,Proposing a new trade offer
casino,167,0,mturk_agent_1,train,hello!,Greeting the other participant
casino,167,1,mturk_agent_2,train,Hi how are you today?,Inquiring about the other participant's well-being
casino,167,2,mturk_agent_1,train,am fine and you?,Responding to the inquiry and reciprocating the question
casino,167,3,mturk_agent_2,train,I am good. Do you have any preferences on which items you would like most?,Expressing their own well-being and asking about item preferences
casino,167,4,mturk_agent_1,train,yes i really need a high amount of water and food.i have firewood in excess,Stating their needs and current surplus
casino,167,5,mturk_agent_2,train,I as well would need some extra food and water. I have a large family and they eat a ton. 3 kids...,Expressing similar needs and providing context about their family
casino,167,6,mturk_agent_1,train,ohh that's would be really difficult.However we can still sort things out,Showing empathy and suggesting a willingness to negotiate
casino,167,7,mturk_agent_2,train,"That is great to hear!🙂 How about you take 2 food, 2 water and 0 firewood? What do you think?",Expressing optimism and proposing a specific trade
casino,167,8,mturk_agent_1,train,uhm.how about i have 3 water 2 foods and zero firewood?,Counter-proposing a different trade
casino,167,9,mturk_agent_2,train,Are you willing to budge on one water for me? I have 5 people in my group and they really could use one package of water. It is hot out nowadays.,Requesting a concession and providing justification
casino,167,10,mturk_agent_1,train,If i gveyou one then you have to spare me all water food with 2 water deal?,Setting a condition for the concession
casino,167,11,mturk_agent_2,train,"So you will take 2 water and 2 food? If that is the case, deal.",Clarifying the terms of the deal
casino,167,12,mturk_agent_1,train,i said if am going to spare you a water then i will have 2 waters and 3 foods and no firewood,Restating their condition for the concession
casino,167,13,mturk_agent_2,train,Fine take all the water. I will take one food and all the firewood.☹️,Conceding to the terms with a sense of resignation
casino,53,0,mturk_agent_2,train,how about I give you 2 waters and 1 food package in exchange for all your firewood?,Propose a trade
casino,53,1,mturk_agent_1,train,"I'm afraid that will not work for me. I have hypothyroidism, so I am intolerant to cold temperatures. I was also planning on taking a swim in the river. I would prefer to take two firewood & one food package, & you may have the three waters, two food packages, & one firewood.",Reject the offer and explain personal needs
casino,53,2,mturk_agent_2,train,I'm afraid I also have need of the firewood. I have anaemia so i get cold easily so I need to make sure I have adequate firewood or i may freeze at night. I also have a thin clothing so they wont provide adequate warmth. How about all of my water and 2 food for all of the firewood?,Explain personal needs and make a counteroffer
casino,53,3,mturk_agent_1,train,"Seeing as we both have a medical-necessity for the firewood, it's rather unfair that either one of us take ALL of the firewood. I felt that I was being rather generous with my previous offer.",Highlight fairness and justify previous offer
casino,53,4,mturk_agent_2,train,"you are right we both need the wood, how about i give 1 wood, all of my water and 2 food and you give 2 wood and 1 food?",Acknowledge fairness and propose a new trade
casino,53,5,mturk_agent_1,train,"Where are you camping? Perhaps we can compromise by having our tents nearby each other, which would be like we each get three firewood? I am not willing to trade my package of marshmallows, though.",Suggest a compromise and set a boundary
casino,53,6,mturk_agent_2,train,"i hope we can come to a compromise 🙂, what is another priority of yours besides the wood?",Express hope for compromise and inquire about other priorities
casino,53,7,mturk_agent_1,train,"Food is a second priority for me, as I will be metal-detecting as well, & cannot risk fainting from the heat. How about I give you two firewood (I don't think we can ""share"", haha), you can give me two food packages, and two water packages.",State second priority and propose a new trade
casino,53,8,mturk_agent_2,train,"okay, I am willing to give up more food to get the firewood, I like your offer🙂",Accept the new offer and express willingness to compromise
casino,53,9,mturk_agent_1,train,I do as well. I'm glad we could come to an agreement! 🙂,Express satisfaction with the agreement
casino,53,10,mturk_agent_2,train,"yes, I agree to give you two of my food packages, and two water packages and you give me two firewood",Confirm the agreement
casino,459,0,mturk_agent_2,train,Hi! I look forward to making a trade with you that's good for us both.,Initiate a friendly and mutually beneficial trade
casino,459,1,mturk_agent_1,train,"Me too, hopefully we can get together on a deal.",Express agreement and hope for a successful deal
casino,459,2,mturk_agent_2,train,I'm hoping so too. What's most valuable to you?,Seek information about the other party's priorities
casino,459,3,mturk_agent_1,train,"Water, what about you?",State own priority and inquire about the other party's priority
casino,459,4,mturk_agent_2,train,"Food, but I definitely do need some water, too. Can you live with taking 2 waters?",State own priority and propose a specific trade
casino,459,5,mturk_agent_1,train,"Yes, can you live with two foods?",Agree to the proposed trade and counter with a request
casino,459,6,mturk_agent_2,train,I can. How about firewood? I would like 2 if possible.,Agree to the counter and inquire about another item
casino,459,7,mturk_agent_1,train,Well there are only 3.,Provide information about the availability of the item
casino,459,8,mturk_agent_2,train,"Of course. Since you're getting more water, I was hoping to get 2 firewood, and you could have the remaining 1. Would that work for you?",Propose a specific split of the remaining item
casino,459,9,mturk_agent_1,train,"Water was my high priority and food was your's, so I think we already split the difference there.",Justify the current trade balance based on priorities
casino,459,10,mturk_agent_2,train,"Okay, so how do you propose splitting the firewood?",Seek a proposal for splitting the remaining item
casino,459,11,mturk_agent_1,train,"Can we split a bundle, in the real world that would be cool.",Suggest an impractical but fair solution
casino,459,12,mturk_agent_2,train,I wish we could. I would be down for that. 🙂 That seems the most fair to me. How about you enter the trade deal on your end?,Express agreement with the fairness and suggest proceeding with the trade
casino,459,13,mturk_agent_1,train,Deal.,Agree to the trade
casino,459,14,mturk_agent_2,train,"Then let me pass it back to you, and you can enter the trade, then hit submit. I'll be ready.",Provide instructions to finalize the trade
casino,175,0,mturk_agent_1,train,"Hello there, I'm in a lot of need for some firewood! I'd not be against taking most of it if that's alright?",Expressing urgent need for firewood and willingness to take most of it
casino,175,1,mturk_agent_2,train,"Hi, I need the all food package. I will frequently feel hungry",Expressing need for all food due to frequent hunger
casino,175,2,mturk_agent_1,train,I can give you two of the packages if you're willing to give me all 3 of the firewood. I left mine out in the rain a couple of nights ago so its all ruined.,Offering a trade of two food packages for all three firewood and explaining the reason
casino,175,3,mturk_agent_2,train,If I will give 2 firewood for you and I will take all the food package with 2 water.,Proposing a counter-offer of two firewood for all food packages and two water
casino,175,4,mturk_agent_1,train,I need all 3 firewood! But I'm willing to discuss food with you. I have a lot of that.,Reiterating the need for all three firewood and expressing willingness to negotiate on food
casino,175,5,mturk_agent_2,train,"Wow. Thank you. Ok. Then I will give you all 3 firewood, however I need all food package with water.",Agreeing to give all three firewood in exchange for all food packages and water
casino,175,6,mturk_agent_1,train,"How about I get 3 firewood, and you get 2 food AND water? We both win with that, I think.",Proposing a compromise where both parties benefit
casino,175,7,mturk_agent_2,train,So now you need 3 firewood with 1 food. Am I correct?🙂,Clarifying the terms of the proposed compromise
casino,175,8,mturk_agent_1,train,"Yes, that sounds fair to me. Although I would be willing to take a water if you're offering it, I am not quite as lucky with water. ☹️",Confirming the terms and expressing additional need for water
casino,175,9,mturk_agent_2,train,"How It will be. you already told that, you have lot of food with you. So can you please think how it will be. you can take all 3 firewood with 1 water and I will take all 3 foods packages and 2 water.",Reiterating the proposed terms and asking for reconsideration
casino,175,10,mturk_agent_1,train,"That sounds fair. I will accept that, all I really need is the firewood anyways! Thank you so much.",Accepting the final terms and expressing gratitude
casino,131,0,mturk_agent_2,train,Hello hood to see a fellow camper.  How are you doing today?🙂,Initiate conversation and express friendliness
casino,131,1,mturk_agent_1,train,"Hey! I'm doing great, how are you?",Respond to greeting and reciprocate friendliness
casino,131,2,mturk_agent_2,train,Looking forward to doing some serious hiking with the family.  bad luck on the way here we flew in and the airline loss or bags with some of our supplies and sleeping bags.☹️,Share personal experience and express a problem
casino,131,3,mturk_agent_1,train,"oh nooo, that's terrible. do they know where they left them?",Show empathy and inquire for more details
casino,131,4,mturk_agent_2,train,I think they went to Chicago.  I really needing replace our lost water and sleeping bags.  I see there are some extra supplies to share.  I could really use the water and firwood.  🙂,Provide additional details and request help
casino,131,5,mturk_agent_1,train,"oh yeah, you definitely do. we have all of our stuff and mostly wanted to hike and have picnics during our camping trip",Express understanding and share own plans
casino,131,6,mturk_agent_2,train,Great. If you mainly doing picnics do you want 3 Food?   I could use the the supplies.  🙂,Propose a trade based on shared information
casino,131,7,mturk_agent_1,train,"Sure, I'll take 3 food and 1 water would be nice. you can have 2 waters and all of the firewood",Agree to the trade and specify terms
casino,131,8,mturk_agent_2,train,Ok that will work for me.,Confirm agreement to the trade
casino,131,9,mturk_agent_1,train,"Awesome, you can enter the deal",Conclude the negotiation and prompt action
casino,458,0,mturk_agent_2,train,Hi there!,Greeting the other participant
casino,458,1,mturk_agent_1,train,hello !🙂,Responding to the greeting in a friendly manner
casino,458,2,mturk_agent_2,train,What are your preferences?,Inquiring about the other participant's needs or preferences
casino,458,3,mturk_agent_1,train,"I am about to go on a charity event with a kid from the make a wish foundation, I would like to get some firewood and maybe some food for his trip so he wont be cold and hungry at least.",Explaining their situation and specifying their needs
casino,458,4,mturk_agent_2,train,I can give you 2 units of food. How much firewood do you need?,Offering a specific amount of food and asking for further details on firewood needs
casino,458,5,mturk_agent_1,train,"I was thinking about 2 units of firewood and 1 unit of food and one unit of water, what are you going to be needing this for?",Specifying their exact needs and inquiring about the other participant's needs
casino,458,6,mturk_agent_2,train,I can do that. I am going camping in the fall with my family so we need a lot of food. We're camping by the lake so if you want I can give you an extra unit of water.,Agreeing to the request and explaining their own needs while offering an additional unit of water
casino,458,7,mturk_agent_1,train,"sure thats sounds fair, so that would leave you with two units of food one unit of firewood and one unit of water then?",Confirming the terms of the exchange and summarizing the agreed items
casino,458,8,mturk_agent_2,train,That sounds fair to me. Have fun with the kiddo!,Agreeing to the terms and wishing the other participant well
casino,458,9,mturk_agent_1,train,"thanks again, hope you and your family have a fun and safe trip!",Expressing gratitude and wishing the other participant well
casino,436,0,mturk_agent_1,train,"Hi there, how's it going?",Initiate conversation and establish rapport
casino,436,1,mturk_agent_2,train,"hi, i am doing well",Respond to greeting and share current state
casino,436,2,mturk_agent_1,train,"cool, the family is looking forward to the camping trip this weekend",Share personal information and build connection
casino,436,3,mturk_agent_2,train,"same, I will need 3 food as I need food to survive, in return, you can have all the water",Express needs and propose a trade
casino,436,4,mturk_agent_1,train,My kids are really eager to make s'mores and tell stories by the campfire. They do need some food though. But i am willing to give you the 3 food for 3 firewood and 2 water if that works for you?,Share personal context  express needs  and propose a counter-offer
casino,436,5,mturk_agent_2,train,how about 2 firewood and 3 water?,Negotiate terms and propose an alternative offer
casino,436,6,mturk_agent_1,train,"so you'll get 3 food, 1 firewood and I'll get 2 firewood and 3 water?",Clarify the terms of the proposed trade
casino,436,7,mturk_agent_2,train,correct,Confirm the terms of the trade
casino,436,8,mturk_agent_1,train,ok I can do that. after the next message I am happy to send over the proposal,Agree to the terms and indicate readiness to finalize the trade
casino,436,9,mturk_agent_2,train,sure thing,Express agreement and readiness to proceed
casino,554,0,mturk_agent_1,train,"Hello.  I hope you are well.  I would like to have all of the water, 2 of the firewood and 1 of the food.",Initiate conversation and propose a distribution of resources.
casino,554,1,mturk_agent_2,train,"Hello.  I'm actually not doing too well.  There have been a few problems and I will need some of the extra packages.  I'll need two of the waters, 2 of the firewood and 2 of the food.",Respond to greeting  express personal difficulties  and propose a different distribution of resources.
casino,554,2,mturk_agent_1,train,"I'm sorry to hear that you are not doing well.  I've also have some issues.  On the way up to the camp site, all of my clean water spilled in the car.  I was really hoping to be able to get all of the available water.  Why aren't you well?  I hope it's not serious.  ☹️",Express sympathy  share personal difficulties  and reiterate the need for water while inquiring about the other person's situation.
casino,554,3,mturk_agent_2,train,"Oh, that's terrible.  I'm sorry that happened.  I need the water for my child.  They seem dehydrated and disoriented.  My husband has also caught a cold and has been having chills.  I thought the extra firewood would help him feel better.",Express sympathy  explain the need for water and firewood due to family health issues.
casino,554,4,mturk_agent_1,train,"Oh my gosh.  You are not having an easy trip.  If your children are dehydrated and disoriented, perhaps you should get them to emergency care immediately.  I would like to provide you will all of the water in the meantime, but that would leave me with none at all.  I wouldn't have your husband out of the tent with chills.  Perhaps you should keep him bundled in your cabin.  I forgot my portable propane grill - so I would need some firewood.  How about I take 2 waters, 1 firewood and all of the food?",Express concern  suggest seeking emergency care  and propose a new distribution of resources.
casino,554,5,mturk_agent_2,train,"Oh dear, you spilled your water and forgot your grill?  You mentioned that you had a car.  Perhaps you could take a quick drive to grab some extra water.  For now, I definitely agree that you need 1 extra water and 1 firewood.  I will need 2 of the extra food portions though.  How does that sound?",Express sympathy  suggest a solution for water  agree partially to the proposed distribution  and propose a new distribution.
casino,554,6,mturk_agent_1,train,"Wish it was an easy car ride.  We're miles and miles from a store and it's getting dark.  I don't do well driving in the dark.  I think we might be getting close to agreement.  As I understand it:  you would get 1 water, 2 firewood and 2 food portions?  Is that correct?",Explain the impracticality of the suggestion  summarize the current understanding of the distribution  and seek confirmation.
casino,554,7,mturk_agent_2,train,"Actually, I suggested that you would get 1 water, 1 firewood and 1 food portion.  I can compromise with you though.  I would like 2 water portions, 1 firewood and 1 food.",Correct the misunderstanding and propose a compromise.
casino,554,8,mturk_agent_1,train,"Since I arrived with no water at all, I would definitely need at least 2 waters.  I'm afraid I don't have a lot of ""wiggle room"" with that.  I'm open for the other supplies.  Ideally, I would like to have 2 waters, 1 firewood and 1 food portion.",Reiterate the necessity for water and propose a new distribution.
casino,554,9,mturk_agent_2,train,"If that's the case, I would like 1 water, 3 firewood and 3 food portions.",Propose a new distribution based on the necessity for water.
casino,554,10,mturk_agent_1,train,"Would you be open to me having 2 waters, and 1 food portion?  While trying to get together some wood to start a fire, I came across a stray pup.  He seems very friendly - so I'm thinking he must have gotten separated from his family.  He's very hungry though - an extra food portion would be a great help.",Propose a new distribution and provide a reason for needing extra food.
casino,554,11,mturk_agent_2,train,Deal,Agree to the proposed distribution.
casino,554,12,mturk_agent_1,train,Wonderful!  I'll submit our deal now.  It was nice working with you.  All the best to you and your family - take care of them!  😮,Express satisfaction with the agreement  conclude the conversation  and extend well wishes.
casino,93,0,mturk_agent_2,train,I am so excited to go camping!  I am planning a nice long walk in the woods to decompress from the hectic days of working.,Express excitement about camping and intention to decompress from work.
casino,93,1,mturk_agent_1,train,"I am too.  I've been thinking of this since COVID.  I hear we have some materials to share between the two of us.  What are you thinking?  For me, I am from the South so I get cold easily 🙂 so firewood is my main priority.",Express mutual excitement and introduce the topic of sharing materials.
casino,93,2,mturk_agent_2,train,"Perfect!  I'm a northerner, so the firewood is all yours!  I'll need lot's of water to keep hydrated after the hike, and I'll probably be pretty hungry too.",Agree to share firewood and express need for water and food.
casino,93,3,mturk_agent_1,train,My spouse calls me a water buffalo so I'm pretty water dependent if you couldn't tell.,Share personal anecdote to emphasize need for water.
casino,93,4,mturk_agent_2,train,That's good.  Best way to stay healthy is with water.  How about you take 1 water and all the firewood?,Propose a distribution of water and firewood.
casino,93,5,mturk_agent_1,train,"I need at least one ration of food.  Would it be ok with me:  3 firewood and 1 each of food and water.  If you are ok with that, I am too.",Negotiate for a specific distribution of firewood  food  and water.
casino,93,6,mturk_agent_2,train,"Sure, that sounds like a nice deal.",Agree to the proposed distribution.
casino,93,7,mturk_agent_1,train,That's awesome.  Sounds like we need to set the deal up.,Express satisfaction and suggest finalizing the deal.
casino,93,8,mturk_agent_2,train,"Agree, I think after I send this message it will unlock, for me to have 2 water, 2 food and 0 firewood.  Thanks for working together",Confirm the distribution and express gratitude for cooperation.
