dataset,dialogue_id,utterance_idx,speaker,utterance,gpt-4o_speaker_intention,Salary,Position,Weekly holiday,Workplace,Company
ji,8882f5ec-1d6e-11e9-8051-6c96cfdf0295,1,worker,above average salary with 2 week vacation,express desire for a job with above average salary and 2-week vacation,35.0,Engineer,4.0,Tokyo,Google
ji,8882f5ec-1d6e-11e9-8051-6c96cfdf0295,2,recruiter,hi,greet the worker,35.0,Engineer,4.0,Tokyo,Google
ji,8882f5ec-1d6e-11e9-8051-6c96cfdf0295,3,worker,hi,acknowledge the recruiter's greeting,35.0,Engineer,4.0,Tokyo,Google
ji,8882f5ec-1d6e-11e9-8051-6c96cfdf0295,4,recruiter,I have a spot in Sales working two days a week,offer a job opportunity in Sales with a two-day work week,35.0,Engineer,4.0,Tokyo,Google
ji,88844640-1d6e-11e9-a8eb-6c96cfdf0295,0,recruiter,Hello how are you?,To initiate the conversation and establish rapport,39.0,Designer,5.0,Beijing,Apple
ji,88844640-1d6e-11e9-a8eb-6c96cfdf0295,1,worker,"I'm doing great, and yourself?",To reciprocate the greeting and establish rapport,39.0,Designer,5.0,Beijing,Apple
ji,88844640-1d6e-11e9-a8eb-6c96cfdf0295,2,recruiter,I think I have a good proposal for you!,To express enthusiasm and introduce a proposal,39.0,Designer,5.0,Beijing,Apple
ji,88844640-1d6e-11e9-a8eb-6c96cfdf0295,3,recruiter,Tell me what you think of this!,To invite feedback on the proposal,39.0,Designer,5.0,Beijing,Apple
ji,88844640-1d6e-11e9-a8eb-6c96cfdf0295,4,recruiter,It looks like a great opportunity at Apple.,To highlight the attractiveness of the opportunity,39.0,Designer,5.0,Beijing,Apple
ji,88844640-1d6e-11e9-a8eb-6c96cfdf0295,5,recruiter,The work place would be in Beijing.,To provide specific details about the job location,39.0,Designer,5.0,Beijing,Apple
ji,8886ea26-1d6e-11e9-9e86-6c96cfdf0295,0,worker,"Yeah sure, I'm easy",Expressing flexibility or openness,35.0,Engineer,4.0,Tokyo,Google
ji,8886ea26-1d6e-11e9-9e86-6c96cfdf0295,1,worker,Salary is important,Emphasizing the importance of salary,35.0,Engineer,4.0,Tokyo,Google
ji,8886ea26-1d6e-11e9-9e86-6c96cfdf0295,2,recruiter,hello,Greeting and initiating conversation,35.0,Engineer,4.0,Tokyo,Google
ji,8886ea26-1d6e-11e9-9e86-6c96cfdf0295,3,worker,Position is most important,Stating the priority of the job position,35.0,Engineer,4.0,Tokyo,Google
ji,8886ea26-1d6e-11e9-9e86-6c96cfdf0295,4,recruiter,where do you like to work?,Inquiring about the worker's preferred work location,35.0,Engineer,4.0,Tokyo,Google
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,0,worker,Hi there,Initiate conversation,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,1,recruiter,Hello - how are you?,Engage in polite social interaction,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,2,worker,"Good, thanks. And you?",Respond politely and reciprocate inquiry,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,3,recruiter,Great - thanks for asking.,Express gratitude and maintain polite interaction,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,4,recruiter,I think I can help you find a job.,Express confidence in ability to assist,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,5,recruiter,Tell me what you think of this opportunity.,Request feedback on a job opportunity,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,6,worker,"That would be great. I am very interested in a sales position, preferably with Amazon or Facebook",Express interest and specify job preferences,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,7,recruiter,This is the best I can do.,Present a job offer,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,8,recruiter,Would you like to accept this?,Inquire about acceptance of the offer,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,9,worker,"No, I'm sorry. I am able to accept that position. It is very important to me to work in a sales role as that is where my experience is.",Decline the offer and explain preference for a sales role,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,10,recruiter,Let me see what I can do.,Express willingness to find a better offer,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,11,recruiter,How about this - it's a higher salary too.,Present an improved job offer,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,12,worker,In order to relocate to tokyo I would need a different schedule.,Express a condition for accepting the offer,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,13,recruiter,This is the best I can do....,Reiterate the offer as the best available,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,14,recruiter,Tell me what you think of this offer,Request feedback on the new offer,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,15,recruiter,It has an attractive salary,Highlight the attractive salary of the offer,42.0,Sales,2.0,Tokyo,Amazon
ji,88879fca-1d6e-11e9-a7c9-6c96cfdf0295,16,recruiter,And lots of holidays,Emphasize the benefits of holidays in the offer,42.0,Sales,2.0,Tokyo,Amazon
ji,888843a8-1d6e-11e9-bec7-6c96cfdf0295,0,worker,Hello!,To greet the recruiter and initiate the conversation,30.0,Sales,3.0,Beijing,Google
ji,888843a8-1d6e-11e9-bec7-6c96cfdf0295,1,recruiter,"Hello, how are you",To greet the worker and inquire about their well-being,30.0,Sales,3.0,Beijing,Google
ji,888843a8-1d6e-11e9-bec7-6c96cfdf0295,2,worker,"Good thanks, I'm looking for a job.",To express their current state and communicate their desire to find a job,30.0,Sales,3.0,Beijing,Google
ji,888843a8-1d6e-11e9-bec7-6c96cfdf0295,3,recruiter,What kind of line you looking for?,To gather more information about the worker's job preferences,30.0,Sales,3.0,Beijing,Google
ji,888c8724-1d6e-11e9-8a1f-6c96cfdf0295,0,worker,"I am looking for a job, do you have any positions available",To inquire about job availability,27.0,Designer,3.0,Beijing,Google
ji,888c8724-1d6e-11e9-8a1f-6c96cfdf0295,1,recruiter,yes we do,To confirm the availability of positions,27.0,Designer,3.0,Beijing,Google
ji,888c8724-1d6e-11e9-8a1f-6c96cfdf0295,2,worker,"I can start as fast as tomorrow, I am organized and responsible",To express readiness to start and highlight personal qualities,27.0,Designer,3.0,Beijing,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,0,recruiter,hello,To initiate the conversation,27.0,Sales,5.0,Seoul,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,1,worker,Hello,To acknowledge the greeting,27.0,Sales,5.0,Seoul,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,2,recruiter,I have an immediate opening in Sales in Sydney Australia!,To inform about a job opening,27.0,Sales,5.0,Seoul,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,3,recruiter,Interested?,To inquire about the worker's interest,27.0,Sales,5.0,Seoul,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,4,worker,"Yes, what is the salary?",To express interest and inquire about salary,27.0,Sales,5.0,Seoul,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,5,recruiter,Only have to work 2 days a week,To provide additional job details,27.0,Sales,5.0,Seoul,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,6,worker,That sounds great!,To express approval of the job details,27.0,Sales,5.0,Seoul,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,7,recruiter,starts at 20 plus bonus and stock options,To provide salary and benefits information,27.0,Sales,5.0,Seoul,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,8,worker,Any ideas what the bonus is?,To inquire about the bonus specifics,27.0,Sales,5.0,Seoul,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,9,recruiter,lots of play time and sightseeing,To highlight non-monetary benefits,27.0,Sales,5.0,Seoul,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,10,recruiter,bonus is dependent on the sales you make,To explain how the bonus is determined,27.0,Sales,5.0,Seoul,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,11,recruiter,commission is 25% to start,To provide commission details,27.0,Sales,5.0,Seoul,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,12,worker,Do you know what company this is for?,To inquire about the company offering the job,27.0,Sales,5.0,Seoul,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,13,recruiter,Google,To provide the company name,27.0,Sales,5.0,Seoul,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,14,recruiter,I do have one with Facebook though if you are interested in them more,To offer an alternative job option,27.0,Sales,5.0,Seoul,Google
ji,888d332c-1d6e-11e9-9d52-6c96cfdf0295,15,worker,What are the options for Facebook job?,To inquire about the details of the Facebook job,27.0,Sales,5.0,Seoul,Google
ji,888de6e6-1d6e-11e9-9c3a-6c96cfdf0295,0,worker,salary is important,expressing the importance of salary,43.0,Manager,4.0,Tokyo,Apple
ji,888de6e6-1d6e-11e9-9c3a-6c96cfdf0295,1,worker,I like to work at a certain location,expressing a preference for work location,43.0,Manager,4.0,Tokyo,Apple
ji,888de6e6-1d6e-11e9-9c3a-6c96cfdf0295,2,worker,and position is also important,expressing the importance of job position,43.0,Manager,4.0,Tokyo,Apple
ji,888de6e6-1d6e-11e9-9c3a-6c96cfdf0295,3,worker,"though first thing first, nice to meet you",initiating polite social interaction,43.0,Manager,4.0,Tokyo,Apple
ji,888de6e6-1d6e-11e9-9c3a-6c96cfdf0295,4,worker,how are you doing today,inquiring about the recruiter's well-being,43.0,Manager,4.0,Tokyo,Apple
ji,888de6e6-1d6e-11e9-9c3a-6c96cfdf0295,5,recruiter,nice to meet you too!,reciprocating polite social interaction,43.0,Manager,4.0,Tokyo,Apple
ji,888de6e6-1d6e-11e9-9c3a-6c96cfdf0295,6,recruiter,what's your ideal position?,inquiring about the worker's ideal job position,43.0,Manager,4.0,Tokyo,Apple
ji,888de6e6-1d6e-11e9-9c3a-6c96cfdf0295,7,worker,manager or sales would be nice,expressing a preference for job roles,43.0,Manager,4.0,Tokyo,Apple
ji,888de6e6-1d6e-11e9-9c3a-6c96cfdf0295,8,worker,let me make a proposal,indicating a desire to present a proposal,43.0,Manager,4.0,Tokyo,Apple
ji,888de6e6-1d6e-11e9-9c3a-6c96cfdf0295,9,worker,what do you think?,seeking the recruiter's opinion on the proposal,43.0,Manager,4.0,Tokyo,Apple
ji,888e88ee-1d6e-11e9-9fe3-6c96cfdf0295,0,recruiter,hi,Initiate conversation,27.0,Designer,3.0,Beijing,Apple
ji,888e88ee-1d6e-11e9-9fe3-6c96cfdf0295,1,worker,Hello!,Respond to greeting,27.0,Designer,3.0,Beijing,Apple
ji,888e88ee-1d6e-11e9-9fe3-6c96cfdf0295,2,recruiter,i propose 25 salary,Propose initial salary offer,27.0,Designer,3.0,Beijing,Apple
ji,888e88ee-1d6e-11e9-9fe3-6c96cfdf0295,3,worker,Could I propose a salary of $40?,Negotiate for a higher salary,27.0,Designer,3.0,Beijing,Apple
ji,888e88ee-1d6e-11e9-9fe3-6c96cfdf0295,4,recruiter,"no, too much",Reject the proposed salary increase,27.0,Designer,3.0,Beijing,Apple
ji,888e88ee-1d6e-11e9-9fe3-6c96cfdf0295,5,worker,I am looking for the position of a Designer at Google,Express interest in a specific job position,27.0,Designer,3.0,Beijing,Apple
ji,888e88ee-1d6e-11e9-9fe3-6c96cfdf0295,6,worker,I could do 30 salary,Counteroffer with a lower salary demand,27.0,Designer,3.0,Beijing,Apple
ji,888e88ee-1d6e-11e9-9fe3-6c96cfdf0295,7,recruiter,i would like a designer at amazon,Express interest in hiring for a different company,27.0,Designer,3.0,Beijing,Apple
ji,888e88ee-1d6e-11e9-9fe3-6c96cfdf0295,8,worker,What about designer at Apple?,Propose an alternative company for the position,27.0,Designer,3.0,Beijing,Apple
ji,888e88ee-1d6e-11e9-9fe3-6c96cfdf0295,9,recruiter,okay,Agree to the proposed company,27.0,Designer,3.0,Beijing,Apple
ji,888e88ee-1d6e-11e9-9fe3-6c96cfdf0295,10,recruiter,salary 27?,Propose a new salary offer,27.0,Designer,3.0,Beijing,Apple
ji,888f257e-1d6e-11e9-99e9-6c96cfdf0295,0,worker,I'm interested in some Design jobs!!,Express interest in design jobs,25.0,Designer,5.0,Seoul,Google
ji,888f257e-1d6e-11e9-99e9-6c96cfdf0295,1,recruiter,I have design jobs available,Inform about availability of design jobs,25.0,Designer,5.0,Seoul,Google
ji,888f257e-1d6e-11e9-99e9-6c96cfdf0295,2,recruiter,$25.00 per hour is what we hire at for design jobs.,Provide information about the pay rate for design jobs,25.0,Designer,5.0,Seoul,Google
ji,888f257e-1d6e-11e9-99e9-6c96cfdf0295,3,recruiter,are you interested?,Inquire about the worker's interest in the job,25.0,Designer,5.0,Seoul,Google
ji,888f257e-1d6e-11e9-99e9-6c96cfdf0295,4,worker,Great!  Yes I am,Confirm interest in the job,25.0,Designer,5.0,Seoul,Google
ji,888fc9a2-1d6e-11e9-b240-6c96cfdf0295,0,worker,hello looking to move up with a company,Express desire to advance in a company,35.0,Designer,4.0,Sydney,Amazon
ji,888fc9a2-1d6e-11e9-b240-6c96cfdf0295,1,recruiter,"Hello, I can help with that",Offer assistance in achieving the worker's goal,35.0,Designer,4.0,Sydney,Amazon
ji,888fc9a2-1d6e-11e9-b240-6c96cfdf0295,2,recruiter,How do you feel about Amazon?,Inquire about the worker's interest in Amazon,35.0,Designer,4.0,Sydney,Amazon
ji,88919476-1d6e-11e9-a11f-6c96cfdf0295,0,worker,hello,To initiate the conversation,35.0,Engineer,4.0,Tokyo,Google
ji,88919476-1d6e-11e9-a11f-6c96cfdf0295,1,recruiter,I would like to propose a salary of $12 to start,To propose an initial salary offer,35.0,Engineer,4.0,Tokyo,Google
ji,88919476-1d6e-11e9-a11f-6c96cfdf0295,2,worker,i think that is too low,To express dissatisfaction with the proposed salary,35.0,Engineer,4.0,Tokyo,Google
ji,88919476-1d6e-11e9-a11f-6c96cfdf0295,3,worker,i want at least 25,To state a desired salary amount,35.0,Engineer,4.0,Tokyo,Google
ji,88925a78-1d6e-11e9-8413-6c96cfdf0295,0,recruiter,What is a good starting point for you?,To inquire about the worker's desired starting salary,35.0,Sales,2.0,Sydney,Amazon
ji,88925a78-1d6e-11e9-8413-6c96cfdf0295,1,worker,i'd like to start at about $40/hr,To express the desired starting salary,35.0,Sales,2.0,Sydney,Amazon
ji,88925a78-1d6e-11e9-8413-6c96cfdf0295,2,recruiter,What is your skill?,To inquire about the worker's skill set,35.0,Sales,2.0,Sydney,Amazon
ji,88925a78-1d6e-11e9-8413-6c96cfdf0295,3,worker,sales,To inform the recruiter of their skill in sales,35.0,Sales,2.0,Sydney,Amazon
ji,8893c91c-1d6e-11e9-b964-6c96cfdf0295,0,recruiter,"Hi, I'm the job recruiter",Introduce themselves and establish their role in the conversation.,39.0,Designer,4.0,Tokyo,Apple
ji,8893c91c-1d6e-11e9-b964-6c96cfdf0295,1,worker,"Hello, I would like to apply for the position of designer",Express desire to apply for a specific job position.,39.0,Designer,4.0,Tokyo,Apple
ji,8893c91c-1d6e-11e9-b964-6c96cfdf0295,2,recruiter,"Ok, which company is your preference?",Inquire about the worker's company preference.,39.0,Designer,4.0,Tokyo,Apple
ji,8893c91c-1d6e-11e9-b964-6c96cfdf0295,3,worker,Facebook,State their preferred company.,39.0,Designer,4.0,Tokyo,Apple
ji,8893c91c-1d6e-11e9-b964-6c96cfdf0295,4,recruiter,"Great, any salary expectations?",Ask about the worker's salary expectations.,39.0,Designer,4.0,Tokyo,Apple
ji,8893c91c-1d6e-11e9-b964-6c96cfdf0295,5,worker,39,Provide their salary expectation.,39.0,Designer,4.0,Tokyo,Apple
ji,8893c91c-1d6e-11e9-b964-6c96cfdf0295,6,recruiter,Which city location would you prefer?,Ask about the worker's preferred city location.,39.0,Designer,4.0,Tokyo,Apple
ji,8893c91c-1d6e-11e9-b964-6c96cfdf0295,7,worker,Tokyo,State their preferred city location.,39.0,Designer,4.0,Tokyo,Apple
ji,88947fa6-1d6e-11e9-a7bb-6c96cfdf0295,0,worker,"Hi! I would love to work for Facebook, particularly in Sales",Expressing interest in working for Facebook in a Sales position,35.0,Sales,3.0,Beijing,Amazon
ji,88947fa6-1d6e-11e9-a7bb-6c96cfdf0295,1,recruiter,How about Facebook as designer,Suggesting an alternative position at Facebook as a designer,35.0,Sales,3.0,Beijing,Amazon
ji,88947fa6-1d6e-11e9-a7bb-6c96cfdf0295,2,worker,"I could do Engineer or Sales for Facebook, a job in Amazon Sales would also be agreeable.",Clarifying willingness to work in Engineering or Sales at Facebook or in Sales at Amazon,35.0,Sales,3.0,Beijing,Amazon
ji,88947fa6-1d6e-11e9-a7bb-6c96cfdf0295,3,recruiter,Amazon sales works for me,Agreeing to the possibility of a Sales position at Amazon,35.0,Sales,3.0,Beijing,Amazon
ji,88947fa6-1d6e-11e9-a7bb-6c96cfdf0295,4,worker,It's important for me to work in Beijing and to have a 4 day holiday if that works,Stating a preference for working in Beijing and having a 4-day holiday,35.0,Sales,3.0,Beijing,Amazon
ji,88965a2e-1d6e-11e9-a44d-6c96cfdf0295,0,worker,Hello,Initiate conversation,35.0,Designer,4.0,Beijing,Apple
ji,88965a2e-1d6e-11e9-a44d-6c96cfdf0295,1,recruiter,What position you looking for?,Inquire about the job position the worker is interested in,35.0,Designer,4.0,Beijing,Apple
ji,88965a2e-1d6e-11e9-a44d-6c96cfdf0295,2,worker,Designer,Specify the desired job position,35.0,Designer,4.0,Beijing,Apple
ji,88965a2e-1d6e-11e9-a44d-6c96cfdf0295,3,worker,With Apple,Specify the desired company to work for,35.0,Designer,4.0,Beijing,Apple
